Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Nick Pivetta","BOS",0.7447640299797058,-0.7163020074367523,1.4610659778118134,3.1720999479293823,0.28265953063964844,1.2694807449976604,1.1696000439780099,1.2845333814620972,0.7557000331580639,2,-0.020779572427272797,0.6074478089597445,1,1,"Nick Pivetta",15454,601713
"Ryne Stanek","HOU",0.36564207077026367,-0.07863600552082062,0.4442780613899231,3.6440000534057617,0.36584362387657166,0.5098157525062561,0.5695400238037109,0.6346307992935181,0.5720400214195251,10,0.2252901792526245,0.49191416167400615,3,0,"Ryne Stanek",15947,592773
"Alex Vesia","LAD",0.23962202668190002,-0.13698798418045044,0.37661001086235046,1.2569999694824219,0.1293969601392746,0.9113809466362,0.7554500102996826,0.988171398639679,0.846057116985321,7,-0.17385457456111908,0.4367764927406869,2,0,"Alex Vesia",25007,681911
"Kendall Graveman","HOU",0.3716120421886444,-0.34136202931404114,0.7129740715026855,3.74399995803833,0.37024617195129395,0.737226665019989,0.767654538154602,0.6826444864273071,0.6308000087738037,5,0.09833363443613052,0.40573392011789333,3,0,"Kendall Graveman",15514,608665
"Phil Maton","HOU",0.5027340650558472,-0.3210640251636505,0.8237981200218201,4.857999801635742,0.4949551522731781,0.8556285500526428,0.6549333333969116,1.0008000135421753,0.7851666808128357,12,0.27487653493881226,0.31268458024945056,3,0,"Phil Maton",18064,664208
"Lance McCullers Jr.","HOU",0.32571208477020264,-0.33203592896461487,0.6577480435371399,4.112800121307373,0.4204898774623871,0.7317209243774414,0.7513454556465149,0.8700000047683716,0.5325999855995178,2,0.1408766210079193,0.30425495022235965,0,0,"Lance McCullers Jr.",14120,621121
"Jacob Webb","ATL",0.013418023474514484,-0.0954580008983612,0.10887601971626282,-3.366999864578247,-0.3568818271160126,0.6170833110809326,0.6800000071525574,0.6800000071525574,2.1194000244140625,1,-0.2080639898777008,0.22980825557662304,0,0,"Jacob Webb",19274,657097
"Josh Hader","MIL",-0.05332198739051819,-0.5360119342803955,0.4826899766921997,0.053000032901763916,0.005968358367681503,3.1071555614471436,2.3561999797821045,2.3561999797821045,,0,-0.21493318676948547,0.1977721575464479,1,1,"Josh Hader",14212,623352
"Jake McGee","SFG",0.177947998046875,-0.02392200008034706,0.20186999440193176,-0.16700002551078796,-0.017324477434158325,0.8717999458312988,0.14469999074935913,1.4908666610717773,1.2928000688552856,2,0.012939758598804474,0.1911758746927231,1,0,"Jake McGee",7550,459429
"Tyler Matzek","ATL",1.1428499221801758,-0.6006719470024109,1.743521809577942,8.725000381469727,0.8688040971755981,1.312628984451294,1.0560142993927002,1.3294308185577393,1.361199975013733,12,0.6807011961936951,0.1899560388039846,6,0,"Tyler Matzek",10058,554431
"Brooks Raley","HOU",0.07551395893096924,-0.2136079967021942,0.28912195563316345,-0.0969998836517334,-0.018791763111948967,0.5947466492652893,0.6556666493415833,0.6413249969482422,1.0676333904266357,6,-0.06024602800607681,0.18721430773367878,1,1,"Brooks Raley",10061,548384
"Tony Gonsolin","LAD",-0.03499002382159233,-0.1856280267238617,0.15063799917697906,-2.805999755859375,-0.2950863540172577,0.37849000096321106,0.5111333131790161,0.5221333503723145,2.077899932861328,2,-0.27961403131484985,0.1871676688414768,0,0,"Tony Gonsolin",19388,664062
"Zack Greinke","HOU",0.03986601158976555,-0.4781240075826645,0.5179900005459785,0.3970000743865967,0.046367909759283066,0.9281930964568565,0.9721333384513855,1.0310666958491008,0.8971333305040995,3,-0.13086054101586342,0.17381066824902644,0,0,"Zack Greinke",1943,425844
"Shane McClanahan","TBR",-0.12612207233905792,-0.6491259783506393,0.5230039209127426,-2.3471999168395996,-0.18644213676452637,1.0216482713304718,0.9120000302791595,0.9300000071525574,0.4138999879360199,2,-0.2827949672937393,0.15934536543143527,0,1,"Shane McClanahan",21483,663556
"Adam Ottavino","BOS",0.12151002883911133,-0.0675959661602974,0.18910598754882812,0.09699991345405579,0.009619247168302536,0.49205881357192993,0.5748000144958496,0.8267999887466431,1.0681333541870117,3,0.10501706600189209,0.14192501792716408,1,0,"Adam Ottavino",1247,493603
"Will Smith","ATL",0.882689893245697,-0.39032602310180664,1.2730159759521484,5.71999979019165,0.570630669593811,1.4851691722869873,1.4438363313674927,1.4438363313674927,,0,0.4817306697368622,0.11260559155683103,6,0,"Will Smith",8048,519293
"JT Chargois","TBR",0.2539079785346985,-0.11734399199485779,0.37125200033187866,1.8200000524520874,0.1794990450143814,1.3286614418029785,1.4616999626159668,0.5697500109672546,1.0258666276931763,3,0.0911458283662796,0.09995475643743701,1,0,"JT Chargois",13767,608638
"Eric Lauer","MIL",0.1250479817390442,-0.2693920135498047,0.3944399952888489,1.3320000171661377,0.13078056275844574,1.2541528940200806,0.978950023651123,0.8700000047683716,3.6988000869750977,1,0.005433690268546343,0.09427343661788415,0,0,"Eric Lauer",19316,641778
"Shane Baz","TBR",-0.181039959192276,-0.43983399868011475,0.25879406929016113,-1.8422000408172607,-0.19776703417301178,1.2221286296844482,0.8284000158309937,0.8700000047683716,0.6583999991416931,1,-0.2334948480129242,0.08535990149831693,0,0,"Shane Baz",22264,669358
"Darwinzon Hernández","BOS",0.0022359685972332954,-0.003831972135230899,0.006067940965294838,-1.5,-0.15532904863357544,0.04520000144839287,0.0658000037074089,0.055800002068281174,0.056199997663497925,2,-0.03544249385595322,0.0849108240679824,0,0,"Darwinzon Hernandez",19848,650382
