Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Marco Estrada","TOR",0.52469801902771,-0.641464114189148,1.1661620140075684,3.8506999015808105,0.38213402032852173,0.7065891623497009,,0.8700000047683716,0.6097999811172485,3,0.26930099725723267,0.473277642475752,0,0,"Marco Estrada",1118,462136
"Kyle Hendricks","CHC",-0.08445599675178528,-0.6484439969062805,0.5639880299568176,-0.9448999762535095,-0.10328160226345062,0.7839665412902832,,0.8700000047683716,0.7782000303268433,2,-0.5715439915657043,0.46381490836684197,0,0,"Kyle Hendricks",12049,543294
"Jon Lester","CHC",-0.08883599936962128,-0.924347996711731,0.8355119824409485,-0.02499997615814209,-0.010071992874145508,0.7948465347290039,,0.8700000047683716,0.17899999022483826,2,-0.5005552768707275,0.38879030654232427,0,0,"Jon Lester",4930,452657
"Dallas Keuchel","HOU",0.5806320123374462,-0.6204519718885422,1.2010839860886335,2.8433997631073,0.29617297649383545,1.08773542864848,,0.6550666689872742,0.9578999876976013,2,0.2741737812757492,0.2596251527710035,0,0,"Dallas Keuchel",9434,572971
"Ryan Madson","KCR",-0.22760002315044403,-0.8611159920692444,0.6335160136222839,-1.8660000562667847,-0.18617188930511475,1.0580552816390991,1.1360000371932983,1.0197999477386475,1.3220889568328857,9,-0.4567440152168274,0.2416323598051605,2,2,"Ryan Madson",1852,425492
"Danny Duffy","KCR",0.04403999447822571,-0.18203400075435638,0.2260739952325821,0.05499991774559021,0.012521989643573761,0.4190499186515808,1.113800048828125,0.8220666646957397,0.7197999954223633,5,-0.13423079252243042,0.23932565716275211,2,1,"Danny Duffy",3542,518633
"Fernando Rodney","CHC",0.037484001368284225,-0.06289199739694595,0.10037599503993988,-1.2760000228881836,-0.13632509112358093,0.6842487454414368,,0.8924000263214111,0.8149999976158142,2,-0.17927280068397522,0.2340540503654807,0,0,"Fernando Rodney",494,407845
"Héctor Rondón","CHC",0.12570400536060333,-0.07096400111913681,0.19666799902915955,0.33699992299079895,0.03727760165929794,0.4549216628074646,,0.5438399910926819,,0,0.05835919827222824,0.21796091492010555,1,0,"Hector Rondon",2391,444468
"Luke Hochevar","KCR",0.5117579698562622,-0.1118440330028534,0.623602032661438,6.164000034332275,0.6604087948799133,0.6719738245010376,0.7021333575248718,0.7145110964775085,0.6678999662399292,6,0.5473513007164001,0.21422296184696554,3,0,"Luke Hochevar",6943,460024
"Jonathon Niese","NYM",0.49669599533081055,-0.16724999248981476,0.6639460325241089,0.4860000014305115,0.06777620315551758,1.3835086822509766,1.2484666109085083,1.3993333578109741,1.2309333086013794,6,0.14834719896316528,0.2106646393454193,3,0,"Jonathon Niese",4424,477003
