Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Jamey Wright","TBR",0.18491600453853607,-0.04338400065898895,0.22830000519752502,-1.5820000171661377,-0.13390898704528809,0.5266674757003784,2.4100000858306885,1.2100000381469727,1.7000000476837158,1,-0.14284490048885345,0.49395069887260434,1,0,"Jamey Wright",715,124604
"Freddy Garcia","ATL",0.07079999893903732,-0.5046399831771851,0.575439989566803,0.4659999907016754,0.05450290068984032,1.0706199407577515,,0.8700000047683716,1.9040000438690186,1,-0.22891199588775635,0.2950419045917987,0,0,"Freddy Garcia",1077,150119
"Lance Lynn","STL",0.09786799550056458,-1.5339900106191635,1.631858080625534,-2.8786001205444336,-0.2936098128557205,1.3043266832828522,0.5776000022888184,1.0815600156784058,1.4096500128507614,4,-0.21854732185602188,0.2935806679915477,1,0,"Lance Lynn",2520,458681
"John Lackey","BOS",0.7567440047860146,-1.4565099775791168,2.213253915309906,5.881800025701523,0.6041113995015621,1.0632978113074052,,1.0107200145721436,2.014360046386719,5,0.4198430706746876,0.29185218228134024,1,0,"John Lackey",1507,407793
"J.P. Howell","LAD",0.11180799454450607,-0.26072996854782104,0.3725380003452301,0.5450000762939453,0.06303759664297104,0.753392219543457,0.6194000244140625,0.7884571552276611,0.6411666870117188,6,-0.1413629949092865,0.2897690862441026,1,1,"J.P. Howell",8245,434442
"John Axford","STL",0.16835199296474457,-0.11618400365114212,0.2845360040664673,1.0099999904632568,0.10605409741401672,0.679184079170227,0.3946000039577484,0.6073333621025085,1.120650053024292,4,-0.03633689880371094,0.2842107788428656,1,0,"John Axford",9059,446099
"Joaquín Benoit","DET",0.08925799280405045,-0.7153980135917664,0.8046560287475586,-3.5819997787475586,-0.35264191031455994,1.5572928190231323,2.3301000595092773,1.582733392715454,2.2829999923706055,1,-0.18983010947704315,0.24714623635679125,2,1,"Joaquin Benoit",1437,276542
"Doug Fister","DET",0.14350000023841858,-0.6472919583320618,0.7907919883728027,1.892199993133545,0.19648991525173187,0.7499697208404541,,0.8700000047683716,0.8668000102043152,2,-0.04134759679436684,0.23268865530750948,0,0,"Doug Fister",9425,450729
"Jon Lester","BOS",0.850890040397644,-1.533974051475525,2.38486385345459,11.19379997253418,1.1443779468536377,0.8807187676429749,,0.8824400305747986,1.1498000621795654,5,0.7740320563316345,0.19209932596516832,0,0,"Jon Lester",4930,452657
"Luis Avilán","ATL",0.3284839987754822,-0.0704599991440773,0.3989439904689789,0.02199995517730713,-0.004189696162939072,1.3286908864974976,1.9573999643325806,1.4593000411987305,1.0609333515167236,3,0.06044192984700203,0.18678186171627428,2,0,"Luis Avilan",2882,501593
"Tony Watson","PIT",0.12507598102092743,-0.09878599643707275,0.22386200726032257,0.6899999976158142,0.07751309871673584,0.6653059124946594,,0.6508499979972839,0.6774500012397766,4,0.007338900119066238,0.1806587993932336,1,0,"Tony Watson",3132,453265
"Felix Doubront","BOS",0.25364598631858826,-0.050999999046325684,0.30464601516723633,2.992000102996826,0.32507988810539246,0.5359628796577454,0.11919999867677689,0.5245499610900879,1.6059333086013794,3,0.29875800013542175,0.17449489842457044,2,0,"Felix Doubront",1478,467094
"Carlos Marmol","LAD",0.04830000177025795,-0.014340000227093697,0.0626400038599968,2.0910000801086426,0.24130189418792725,0.22714300453662872,0.843999981880188,0.421999990940094,,0,0.06177150085568428,0.15086987838815313,0,0,"Carlos Marmol",2790,461791
"Clay Buchholz","BOS",0.007265910506248474,-1.8026819229125977,1.8099479675292969,-0.07280012965202332,-0.0009768046438694,1.0924205780029297,,0.8849999904632568,1.4591000080108643,4,-0.13509462773799896,0.14174583026251694,0,0,"Clay Buchholz",3543,453329
"Alex Cobb","TBR",0.19562800228595734,-0.8972200155258179,1.0928479433059692,2.1133999824523926,0.22147178649902344,1.2032215595245361,,0.8700000047683716,1.6184000968933105,2,0.024323198944330215,0.13826365028338933,0,0,"Alex Cobb",6562,502171
"Aníbal Sánchez","DET",-0.2826719880104065,-1.6186059713363647,1.335934042930603,-1.7008001804351807,-0.19171001017093658,1.0612748861312866,,0.8700000047683716,0.9469333291053772,3,-0.3896149694919586,0.12326362950987019,0,0,"Anibal Sanchez",3284,434671
"Mike Minor","ATL",0.18453599512577057,-0.4472079873085022,0.6317440271377563,1.4276000261306763,0.16076600551605225,1.3018200397491455,,0.8700000047683716,2.5176000595092773,1,0.031059900298714638,0.11069240761730867,0,0,"Mike Minor",10021,501985
"Sonny Gray","OAK",0.4383280277252197,-0.6727719902992249,1.1110999584197998,2.922600030899048,0.3204602003097534,1.1289018392562866,,0.8700000047683716,1.7203999757766724,2,0.2927993834018707,0.09547886407975925,0,0,"Sonny Gray",12768,543243
"Ryan Dempster","BOS",0.003264012048020959,-0.0024519539438188076,0.0057159666903316975,0.5429999828338623,0.05613759532570839,0.02106666751205921,,0.020999999716877937,0.04839999973773956,1,0.06183760240674019,0.0930996721362096,0,0,"Ryan Dempster",517,133225
"Dan Otero","OAK",0.20246800780296326,-0.08591599762439728,0.28838399052619934,3.0139999389648438,0.32192301750183105,0.685600221157074,1.3675999641418457,1.0204999446868896,0.5963000059127808,4,0.20902450382709503,0.08629046480179775,1,0,"Dan Otero",7385,519096
"Trevor Rosenthal","STL",0.7702580094337463,-0.6435080170631409,1.4137660264968872,4.7829999923706055,0.5238955616950989,1.56356680393219,2.737299919128418,1.7381800413131714,2.2202000617980957,1,0.4081864058971405,0.08444237561487189,5,0,"Trevor Rosenthal",10745,572096
"Johnny Cueto","CIN",-0.21939599514007568,-0.38019201159477234,0.16079600155353546,-1.9550000429153442,-0.22785499691963196,0.6658949851989746,,0.8700000047683716,0.7775999903678894,1,-0.4104749858379364,0.08099961807477707,0,0,"Johnny Cueto",6893,456501
"Grant Balfour","OAK",0.17402400076389313,-0.010107999667525291,0.18413200974464417,1.3970000743865967,0.15032869577407837,0.7511190176010132,,1.086133360862732,,0,0.17089881002902985,0.060787509563443726,1,0,"Grant Balfour",718,346797
"Jeanmar Gómez","PIT",0.0012359999818727374,-0.011416000314056873,0.012652000412344933,0.3370000123977661,0.03814370185136795,0.04682350158691406,0.07559999823570251,0.07559999823570251,0.009999999776482582,1,-0.033434100449085236,0.05983110067296783,0,0,"Jeanmar Gomez",9033,491646
"Vin Mazzaro","PIT",0.026172000914812088,0,0.026172000914812088,1.024999976158142,0.11666839569807053,0.2062000036239624,0.506600022315979,0.3410666584968567,0.2766000032424927,3,0.07121869921684265,0.055706618216908615,0,0,"Vin Mazzaro",5231,476570
"Chris Withrow","LAD",0.13407398760318756,-0.306549996137619,0.4406239986419678,1.1579999923706055,0.1342402547597885,1.1577032804489136,,0.9347500205039978,1.6925499439239502,4,0.06455977261066437,0.051250547587442644,1,0,"Chris Withrow",7161,519437
"Jake McGee","TBR",0.12259798496961594,-0.26826000213623047,0.39085790514945984,1.1720000505447388,0.12285260111093521,1.5947986841201782,0.41040000319480896,1.0927000045776367,2.2554666996002197,3,0.0286289993673563,0.04824464380175068,1,0,"Jake McGee",7550,459429
"A.J. Burnett","PIT",-0.3411079943180084,-0.5440419912338257,0.20293399691581726,-6.744999885559082,-0.7634410262107849,1.0825599431991577,,0.8700000047683716,0.07559999823570251,1,-0.35947200655937195,0.04437814366437748,0,0,"A.J. Burnett",512,150359
