Name,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,PlayerId_x,MLBAMID_x,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,PlayerId_y,MLBAMID_y,Years_Contributed
Aaron Nola,1.6666666666666667,1.3333333333333333,0.0,3.3333333333333335,3.3333333333333335,17.733333333333334,10.95584446853484,2.306154772756049,1.9284020790744043,0.3015065913370998,0.74538066,0.3562691656666666,0.20105820066666666,,4.81897249415172,,4.379978840081644,3.149367519717638,,16149.0,605400.0,0.16954861332972845,-1.0757347246011097,1.2452833354473114,1.494999885559082,0.13795477648576104,0.8320001562436422,0.8256174524625143,0.8700000047683716,0.9294999837875366,3.3333333333333335,0.12608411411444345,0.07513367731760119,0.0,0.0,16149.0,605400.0,3
Adam Wainwright,0.5,0.8333333333333334,0.0,3.0,2.3333333333333335,15.4,9.573390590920107,1.8235714086694503,1.2828568065353585,0.2846959796687988,0.8455323483333334,0.4707441026666666,0.29056972400000003,,2.9985710566299155,,3.4967350567422137,2.836371032440565,,2233.0,425794.0,0.05667466546098391,-0.9832163328925768,1.039891028466324,0.5173666675885519,0.05979359336197374,0.9264513795956587,1.03539670623985,0.8555666704972585,1.1691638939082623,2.8333333333333335,0.12380689879258473,-0.05850429667189388,0.16666666666666666,0.16666666666666666,2233.0,425794.0,5
Blake Snell,1.0,0.5,0.5,3.0,2.0,9.149999999999999,11.503819508962232,2.963414772006466,1.1730194898507211,0.3055555555555556,0.8703703700000001,0.19854469800000002,0.09191176449999999,,3.148629337855032,,3.2889823127027533,4.007244927507688,,13543.0,605483.0,-0.025802940130233792,-0.8048799685202538,0.779077060520649,0.39329999685287476,0.028132837265729904,1.0570924977461498,0.8943533301353455,0.9890333414077759,1.0370166525244713,2.5,-0.0569929163902998,0.0527084235890521,0.5,0.0,13543.0,605483.0,2
C.J. Wilson,0.3333333333333333,2.0,0.0,3.6666666666666665,3.3333333333333335,17.433333333333334,9.381609676211793,7.768595861644154,1.136007894950968,0.4136791253496059,0.5710513066666666,0.5291318266666667,0.13257575733333335,,16.661462391786483,,5.372362476610241,5.213799852042432,,3580.0,450351.0,-0.2542980046321948,-1.4612120340267818,1.206914020081361,-2.9743333061536155,-0.28702563668290776,1.134588006743811,1.6519999504089355,0.9346222149001226,1.0727499855889215,3.6666666666666665,-0.2470001702507337,0.06997468449693493,0.0,0.0,3580.0,450351.0,2
Chris Sale,0.3333333333333333,1.0,0.0,3.3333333333333335,2.3333333333333335,11.1,12.08645690895907,3.208895915952852,2.1036978538983626,0.34995251661918325,0.59570686,0.35669262100000004,0.19288119233333334,,6.829334980322301,,4.761457661930933,3.623473204343982,,10603.0,519242.0,-0.17393198360999426,-1.053811291853587,0.8798793132106463,-1.1352999607721965,-0.1354333311319351,1.0739548478093182,0.9312547300801133,0.8639777799447378,1.127644419670105,3.0,-0.11326256394386292,-0.00780702722672207,0.3333333333333333,0.0,10603.0,519242.0,3
Clayton Kershaw,1.0,1.2222222222222223,0.1111111111111111,3.2222222222222223,2.7777777777777777,16.299999999999997,9.155555601460964,4.686741152728004,4.356925443657378,0.3411697879781192,0.6009887333333334,0.43855116911111114,0.18703703677777778,,22.282482008936242,,9.088480475562797,5.868765296029222,,2036.0,477132.0,-0.048907336261537315,-1.1555299905853138,1.1066228953293629,-0.6753111076023843,-0.06541613892962533,0.9944227474674674,1.8887342086716632,1.0798792552616863,1.1382729700869985,3.0,0.014444860319296518,-0.048959360670109676,0.1111111111111111,0.1111111111111111,2036.0,477132.0,9
Cliff Lee,1.5,1.5,0.0,3.0,3.0,20.6,12.679905696418878,1.7523364126135692,0.2523364126135692,0.4453488372093023,0.6523109250000001,0.419117647,0.03125,,5.137850269374631,,1.2245116702520336,2.036000349016458,,1636.0,424324.0,0.18182599544525146,-1.6253470182418823,1.807174950838089,1.8243999481201172,0.17525775730609897,1.170043706893921,,0.8858999907970428,0.8879249840974808,2.5,0.393761470913887,-0.2095713913479547,0.0,0.0,1636.0,424324.0,2
Cole Hamels,0.4,0.6,0.0,1.4,1.2,7.840000000000001,7.770001004219729,3.810001725198556,0.8100006179815399,0.27522522522522525,0.6578489700000001,0.4788095236,0.05858585839999999,,4.0200034503971125,,3.9220974620195954,4.555664178651141,,4972.0,430935.0,0.11988919377326965,-0.5754599869251251,0.695349183678627,0.5610000848770141,0.06656713783740999,1.4337067008018494,2.291199922561645,1.1682999849319458,1.4304999589920042,1.2,0.11138637810945509,-0.03878403852353338,0.2,0.0,4972.0,430935.0,4
Corbin Burnes,0.25,0.5,0.0,2.25,0.75,6.75,8.656250291400516,2.781250026490956,1.6875,0.20712560386473425,0.875,0.38949275325,0.1875,,3.031250052981912,,4.712301967467786,3.775850301550887,,19361.0,669203.0,0.10278100147843358,-0.36841747909784317,0.4711984917521477,1.2013750076293945,0.12313948571681974,0.94557985663414,0.9653989225625992,0.9148916602134705,1.4056899696588516,2.0,0.17802283167839048,-0.080125902230405,0.75,0.25,19361.0,669203.0,4
Corey Kluber,1.0,1.0,0.0,2.5,2.25,11.4,8.160602977688232,2.5543453032768135,4.414081170025793,0.21754614767255215,0.8650201925,0.4075504555,0.36160714275,,6.934673532449725,,8.945104135808688,4.792265189808175,,2429.0,446372.0,-0.02404350042343137,-0.8861559852957726,0.8621124923229218,0.13249997235834599,0.022257855627685785,1.1763893961906433,1.3189427852630615,1.375900000333786,0.44545556604862213,2.25,-0.12037170119583604,0.09278338307531234,0.0,0.25,2429.0,446372.0,4
David Price,0.5,1.125,0.0,2.25,1.75,11.475,7.526112843188191,2.447802495920824,1.5118693470263072,0.2925618421248822,0.69706383,0.44842030075,0.143607397375,,5.42583243360388,,4.516488854447151,4.068736172982744,,3184.0,456034.0,-0.0716107526095584,-0.8540135202929378,0.782402750570327,-0.21993746049702173,-0.0164716700091958,0.906624764081082,0.796481443302972,0.9152916669845581,0.5583562447379032,2.25,-0.06365043875848642,-0.09251331211708093,0.375,0.0,3184.0,456034.0,3
Dylan Cease,0.0,0.5,0.0,1.5,1.5,3.1,10.800003089905768,10.800003604890193,1.8000003433228193,0.43529411764705883,0.44509804,0.3666666665,0.1666666665,,15.300004463197244,,6.968257961273496,6.334080361915429,,18525.0,656302.0,-0.3104879930615425,-0.613116979598999,0.3026289865374565,-2.9393500089645386,-0.3069629892706871,1.1335272789001465,0.9208166599273682,0.8579999804496765,1.6104999780654907,1.5,-0.2686894610524177,-0.002829595025485701,0.0,0.0,18525.0,656302.0,2
George Kirby,0.0,0.0,1.0,2.0,1.0,8.0,6.75,1.125,0.0,0.2608695652173913,1.0,0.217391304,0.0,,0.0,,2.737431001663208,5.513123634085059,,25436.0,669923.0,0.6032679378986359,-0.4723319634795189,1.0755999386310575,3.470899879932404,0.3918683975934982,1.7736666816653628,1.412349969148636,2.123599946498871,1.8087999820709229,1.0,0.2569637969136238,0.0831609537707633,1.0,0.0,25436.0,669923.0,1
Gerrit Cole,1.2857142857142858,0.8571428571428571,0.0,2.7142857142857144,2.7142857142857144,16.32857142857143,10.043701009721943,3.084009060305393,2.5276516538220686,0.2621755114478859,0.7885623585714285,0.34149217571428575,0.18608519371428572,,4.778876291253606,,5.637422826913364,4.2388843138602414,,13125.0,543037.0,0.21548945776053838,-0.973079685653959,1.1885691487363406,1.838728598185948,0.18666275484221323,0.8571961351803371,0.9441023826599121,0.8754476223673139,1.05362574330398,2.7142857142857144,0.18982441510472983,0.010533197452430589,0.0,0.0,13125.0,543037.0,7
Gio González,0.0,0.0,0.0,1.6,1.6,5.82,6.986539680436707,5.395384920109177,1.4653849201091769,0.24,0.676635408,0.3913691206,0.1399999998,,4.69615476032753,,5.7008315567342125,5.403609139671122,,7448.0,461829.0,-0.10783840119838713,-0.5048440039157868,0.39700559079647063,-0.9483999907970428,-0.10301353409886356,1.022554874420166,0.8733749091625214,0.8700000047683716,0.9027199983596802,1.6,-0.051100511848926514,-0.060538919164749086,0.0,0.0,7448.0,461829.0,5
Jacob deGrom,2.0,0.5,0.0,2.5,2.5,15.5,11.219999999999999,2.94,1.1099999999999999,0.2867965367965368,0.84719193,0.4448051945,0.16346153800000002,,2.94,,3.2130123758316045,2.8704860116044686,,10954.0,594798.0,0.24234607443213457,-1.153658002614975,1.3960039913654327,1.9583500027656555,0.22537795081734657,1.2323569655418396,1.1188000440597534,0.8847000002861023,1.3768500089645386,2.5,0.12303988356143233,0.0741272602792357,0.0,0.0,10954.0,594798.0,2
