Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Mookie Betts","BOS",136,614,32,129,80,30,0.131921824,0.148208469,0.294230769,0.368159203,0.346153846,0.438110749,0.640384615,0.44889713366432943,0.431,184.99697360216607,7.744160819565877,70.13279651278073,7.678321361541748,10.165949574751025,"Mookie Betts",13611,605141
"Mike Trout","LAA",140,608,39,101,79,24,0.200657894,0.203947368,0.316348196,0.346153846,0.31210191,0.459637561,0.628450106,0.44656093495408283,0.434,188.3163034838783,3.8059041660744697,67.99749184773692,3.103730171918869,9.45416754869534,"Mike Trout",10155,545361
"Alex Bregman","HOU",157,705,31,105,103,10,0.136170212,0.120567375,0.245791245,0.288981288,0.286195286,0.394326241,0.531986531,0.3956216221852798,0.369,156.85365787601754,3.4491886345203966,51.36525786461907,1.2557048797607422,7.892446577869795,"Alex Bregman",17678,608324
"Francisco Lindor","CLE",158,745,38,129,92,25,0.093959731,0.143624161,0.242057489,0.279383429,0.276853252,0.351752021,0.518910741,0.3683644672640327,0.375,131.52387068417264,1.4563149558380246,29.53194202538735,20.753373622894287,7.79248054809197,"Francisco Lindor",12916,596019
"Christian Yelich","MIL",147,651,36,118,110,22,0.104454685,0.207373271,0.271777003,0.372839506,0.325783972,0.402457757,0.597560975,0.4219775666441131,0.416,167.08411105734618,6.343150126049295,59.66316741946413,-4.948510825634003,7.684291210538883,"Christian Yelich",11477,592885
"José Ramírez","CLE",157,698,39,110,105,34,0.151862464,0.11461318,0.282006921,0.251612903,0.269896193,0.386819484,0.551903114,0.39148628310263595,0.365,147.3023009774801,6.129445840138942,45.59982921513228,4.587035655975342,7.617300885499599,"Jose Ramirez",13510,608070
"Manny Machado","- - -",162,709,37,84,107,14,0.098730606,0.146685472,0.240506329,0.304435483,0.297468354,0.366713681,0.537974683,0.3765743402427254,0.369,140.78177841093927,2.9719828276429325,37.694322201288486,9.543968439102173,7.245983947335297,"Manny Machado",11493,592518
"Matt Chapman","OAK",145,616,24,100,68,1,0.094155844,0.237012987,0.23034735,0.33773087,0.277879341,0.35551948,0.508226691,0.3692072153865517,0.338,139.03080263514292,4.020974199520424,32.76329612888644,8.152940034866333,6.375037039633076,"Matt Chapman",16505,656305
"Lorenzo Cain","MIL",141,620,10,90,38,30,0.114516129,0.151612903,0.109461967,0.356979405,0.307977736,0.39516129,0.417439703,0.35886038899999445,0.342,124.91121168917351,3.1867144817952067,22.043869251931387,17.31163454055786,6.0055155125091435,"Lorenzo Cain",9077,456715
"Nolan Arenado","COL",156,673,38,104,110,2,0.108469539,0.18127786,0.26440678,0.314220183,0.296610169,0.373511904,0.561016949,0.3906945415133796,0.353,132.80423666135644,-0.9240726984571666,26.0306348619834,11.111804246902466,5.944763875092378,"Nolan Arenado",9777,571448
"J.D. Martinez","BOS",150,649,43,111,130,6,0.106317411,0.224961479,0.298769772,0.374677002,0.330404217,0.402157164,0.629173989,0.427484259336346,0.418,170.3847326206702,-1.6600752864032984,52.947993364984065,-17.566149711608887,5.921212984332498,"J.D. Martinez",6184,502110
"Javier Báez","CHC",160,645,34,101,111,21,0.04496124,0.258914728,0.264026403,0.347188264,0.290429042,0.326086956,0.554455445,0.3663847768831553,0.34,131.18705142022094,4.192163603613153,28.751897376504523,8.282521724700928,5.845386336234496,"Javier Baez",12979,595879
"Jose Altuve","HOU",137,599,13,84,61,17,0.091819699,0.131886477,0.134831461,0.352144469,0.3164794,0.38590604,0.451310861,0.3634402544514553,0.352,134.8929489474528,3.9286293112672865,28.91471082017506,6.933213710784912,5.79361105229039,"Jose Altuve",5417,514888
"Anthony Rendon","WSN",136,597,24,88,92,2,0.092127303,0.137353433,0.2268431,0.3225058,0.308128544,0.373534338,0.534971644,0.38285503244480573,0.384,139.62897818536402,0.7364340675994754,29.621730534141157,5.384098768234253,5.485265112159193,"Anthony Rendon",12861,543685
"Yasmani Grandal","LAD",140,518,24,65,68,2,0.138996138,0.239382239,0.225,0.277966101,0.24090909,0.349420849,0.46590909,0.35171000454827017,0.337,124.7688957548644,-3.0123762793373317,12.6524660828644,22.712285041809082,5.273198575891708,"Yasmani Grandal",11368,518735
"Trea Turner","WSN",162,740,19,103,73,43,0.093243243,0.178378378,0.144578313,0.313840155,0.271084337,0.344173441,0.41566265,0.331185566324766,0.335,105.10507714254402,8.876339523354545,13.488704360532926,13.817014694213867,5.143367000425259,"Trea Turner",16252,607208
"Jed Lowrie","OAK",157,680,23,78,99,0,0.114705882,0.188235294,0.181208054,0.303571428,0.266778523,0.352941176,0.447986577,0.34740027245435867,0.327,124.14964747987695,-2.3280741390772164,17.30342038764772,8.811557650566101,5.076147313597348,"Jed Lowrie",4418,476704
"Brandon Nimmo","NYM",140,535,17,77,47,9,0.14953271,0.261682242,0.219399538,0.351449275,0.263279445,0.403738317,0.482678983,0.38527630048665945,0.349,148.04332582485551,2.803624547785148,34.18532479997009,-1.6025404930114746,5.04040990632568,"Brandon Nimmo",12927,607043
"Mitch Haniger","SEA",157,683,26,90,93,8,0.102489019,0.216691068,0.208053691,0.335664335,0.285234899,0.36603221,0.49328859,0.3666182631772116,0.366,136.77123683914255,1.1967826071195304,31.220370945824087,-5.814990058541298,5.013636632829777,"Mitch Haniger",14274,571745
"Whit Merrifield","KCR",158,707,12,88,60,45,0.086280056,0.161244695,0.134493671,0.3515625,0.303797468,0.367375886,0.438291139,0.3493569108364762,0.343,119.259311726747,5.249899773159996,21.527629430344838,2.7604663148522377,4.982902409584005,"Whit Merrifield",11281,593160
"Trevor Story","COL",157,656,37,88,108,27,0.071646341,0.25609756,0.275919733,0.345088161,0.290969899,0.347560975,0.566889632,0.3838505776881441,0.358,128.23131676134938,2.9127804758027196,25.524031846072376,0.1333026885986328,4.708909259631164,"Trevor Story",12564,596115
"J.T. Realmuto","MIA",125,531,21,74,74,3,0.071563088,0.195856873,0.20754717,0.311797752,0.276729559,0.34026465,0.484276729,0.35313355111444833,0.351,126.6402572143681,2.8691581641323864,20.14035996260162,8.85839855670929,4.658864274022248,"J.T. Realmuto",11739,592663
"Xander Bogaerts","BOS",136,580,23,72,103,8,0.094827586,0.175862068,0.233918128,0.317258883,0.288499025,0.360344827,0.522417153,0.3728855608238114,0.363,133.12633714694448,0.7365294978953898,23.705158142468473,1.38285493850708,4.619272187650461,"Xander Bogaerts",12161,593428
"Paul Goldschmidt","ARI",158,690,33,95,83,7,0.130434782,0.250724637,0.242833052,0.359173126,0.29005059,0.388969521,0.532883642,0.39001565327686544,0.384,144.95332686437987,-1.148287920281291,36.72216966121944,-13.014691591262817,4.61536273344813,"Paul Goldschmidt",9218,502671
"Freddie Freeman","ATL",162,707,23,94,98,10,0.107496463,0.186704384,0.19579288,0.358208955,0.309061488,0.387553041,0.504854368,0.3778660916596008,0.388,135.92287693203704,-0.210619613295421,30.79783681689007,-7.647785186767578,4.611566840219825,"Freddie Freeman",5361,518692
"Eugenio Suárez","CIN",143,606,34,79,104,1,0.105610561,0.234323432,0.242884251,0.322128851,0.282732447,0.366336633,0.525616698,0.3764052789079924,0.373,134.64546562018006,-4.194077543215826,21.439466226184443,3.020656108856201,4.428065373759067,"Eugenio Suarez",12552,553993
"Andrew Benintendi","BOS",148,661,16,103,87,21,0.10741301,0.160363086,0.174438687,0.327586206,0.29015544,0.365705614,0.464594127,0.3573847127721665,0.353,122.54848927473323,3.302093688165769,21.119831515228704,-0.9884848594665527,4.393475691371256,"Andrew Benintendi",17901,643217
"Andrelton Simmons","LAA",146,600,11,68,75,10,0.058333333,0.073333333,0.124548737,0.299603174,0.292418772,0.337228714,0.416967509,0.3258936707697921,0.316,105.97242401065787,2.3389688064344227,6.6228314581457255,15.030233383178711,4.335912794164032,"Andrelton Simmons",10847,592743
"Matt Carpenter","STL",156,677,36,111,81,4,0.150664697,0.23338257,0.265957447,0.29144385,0.257092198,0.374260355,0.523049645,0.3753490044603941,0.389,139.58728839798687,-3.1417435477487743,29.579819992737214,-10.13787317276001,4.135294709091965,"Matt Carpenter",8090,572761
"Starling Marte","PIT",145,606,20,81,72,33,0.057755775,0.179867986,0.182468694,0.31177829,0.277280858,0.327272727,0.459749552,0.3368664605305167,0.335,111.73548931304352,3.300205630483106,11.983078658057861,8.924330234527588,4.062351304097984,"Starling Marte",9241,516782
"Nick Ahmed","ARI",153,564,16,61,70,5,0.070921985,0.193262411,0.176356589,0.265151515,0.234496124,0.289520426,0.410852713,0.299671270311835,0.292,84.58807110553165,1.819239427568391,-8.793456581134414,30.82753610610962,4.0459430231733755,"Nick Ahmed",12147,605113
"Aaron Hicks","NYY",137,581,27,90,79,11,0.154905335,0.191049913,0.21875,0.264367816,0.247916666,0.366148531,0.466666666,0.3598501572971938,0.372,128.53512610737735,2.471690482692793,22.291048532944018,-3.200422763824463,4.0054165396222245,"Aaron Hicks",5297,543305
"Joey Wendle","TBR",139,545,7,62,61,16,0.067889908,0.176146788,0.135523614,0.352791878,0.299794661,0.35359116,0.435318275,0.337726273319938,0.304,117.27994252085674,3.3167068627662957,14.574997365894014,5.418439149856567,3.971933704047217,"Joey Wendle",13853,621563
"Ozzie Albies","ATL",158,684,24,105,72,14,0.052631578,0.169590643,0.190923318,0.284860557,0.261345852,0.304538799,0.45226917,0.32377752954055766,0.301,99.78261254827126,7.105288652004674,6.923745363872299,10.710204601287842,3.9712451659023538,"Ozzie Albies",16556,645277
"Miguel Andujar","NYY",149,606,27,83,92,2,0.041254125,0.160066006,0.230366492,0.315673289,0.296684118,0.328382838,0.52705061,0.36097110255269815,0.322,129.30006415117322,-0.15403619245626032,21.072290804560062,-4.159579753875732,3.86901338017466,"Miguel Andujar",15878,609280
"Jean Segura","SEA",144,632,10,91,63,20,0.050632911,0.109177215,0.110921501,0.32748538,0.303754266,0.340764331,0.414675767,0.3265123904322664,0.31,109.4028103333892,1.5515046617947519,8.655593915961497,6.48486280506404,3.777880244037565,"Jean Segura",5933,516416
"Giancarlo Stanton","NYY",158,705,38,102,100,5,0.09929078,0.29929078,0.243111831,0.333333333,0.265802269,0.343262411,0.5089141,0.3596788454055786,0.345,128.41822210817878,-1.86194231454283,22.088838493638306,-9.790078401565552,3.741704597541862,"Giancarlo Stanton",4949,519317
"Travis Shaw","MIL",152,587,32,73,86,5,0.132879045,0.183986371,0.238955823,0.241758241,0.240963855,0.344709897,0.479919678,0.3506382092319686,0.35,119.41741154020107,-1.029045480536297,12.887103207644856,5.174067258834839,3.7094719488093713,"Travis Shaw",11982,543768
"David Peralta","ARI",146,614,30,75,87,4,0.078175895,0.201954397,0.223214286,0.328431372,0.292857142,0.35179153,0.516071428,0.3683428633408468,0.35,130.4722549420452,1.8994282726198435,24.74292523938416,-7.62574577331543,3.697404068956638,"David Peralta",2136,444482
"Eduardo Escobar","- - -",151,631,23,75,84,2,0.082408874,0.199683042,0.217314488,0.308235294,0.272084805,0.334389857,0.489399293,0.34609248435325074,0.323,117.44951466476945,-0.820914268726483,12.35931969291128,2.1316277980804443,3.6273339156208713,"Eduardo Escobar",6153,500871
"Tommy Pham","- - -",137,570,21,102,63,15,0.117543859,0.245614035,0.18825911,0.342261904,0.275303643,0.366666666,0.463562753,0.3587070117953797,0.376,129.86548172626965,0.9840162466280162,21.360818508050514,-4.237289547920227,3.6219243018286895,"Tommy Pham",2967,502054
"Chris Taylor","LAD",155,604,17,85,63,9,0.091059602,0.294701986,0.190298507,0.344927536,0.253731343,0.331125827,0.44402985,0.3345276467650142,0.321,113.28818839835107,0.7867212118580937,10.58595996782437,5.438348054885864,3.5533838511671885,"Chris Taylor",13757,621035
"Scooter Gennett","CIN",154,638,23,86,92,4,0.065830721,0.195924764,0.179794521,0.358276643,0.309931506,0.357480314,0.489726027,0.36167045861859864,0.311,124.80012531081948,-2.021222272887826,17.296867402851483,-2.4225956201553345,3.542170311899711,"Scooter Gennett",10339,571697
"Michael Brantley","CLE",143,631,17,89,76,12,0.07606973,0.095087163,0.159649123,0.318637274,0.308771929,0.364069952,0.468421052,0.35882986018312757,0.357,125.01741227060089,1.6055518281646073,20.47700743271762,-7.799191474914551,3.5208659649247562,"Michael Brantley",4106,488726
