Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Josh Hamilton","TEX",133,571,32,95,100,8,0.075306479,0.166374781,0.274131274,0.389873417,0.359073359,0.410526315,0.633204633,0.4453089311059597,,175.03500693330454,4.925732002593577,55.33562053414829,5.9454522132873535,8.417319772573324,"Josh Hamilton",1875,285078
"Carl Crawford","TBR",154,663,19,110,90,47,0.069381598,0.156862745,0.188333334,0.342323651,0.306666666,0.356269113,0.495,0.36855275766457646,,134.50947373543355,13.25564594939351,40.17518175105835,11.081218242645264,7.70992980125864,"Carl Crawford",1201,408307
"Evan Longoria","TBR",151,661,22,96,104,15,0.108925869,0.187594553,0.212543554,0.335616438,0.294425087,0.372163388,0.506968641,0.37552881672496236,,139.2501749151207,4.492202887777239,35.01741973692749,14.390639066696167,7.511021359191849,"Evan Longoria",9368,446334
"Joey Votto","CIN",150,648,37,106,113,16,0.140432098,0.192901234,0.276051189,0.360824742,0.32358318,0.424382716,0.599634369,0.4378659799695015,,171.94597515179268,1.097342848777771,56.962842046085896,-10.091489672660828,6.915749428720009,"Joey Votto",4314,458015
"Albert Pujols","STL",159,700,42,115,118,14,0.147142857,0.108571428,0.284497445,0.296842105,0.311754684,0.414285714,0.596252129,0.41855365794230803,,163.5608429439409,0.8676902288571,54.18274538135842,-9.995797991752625,6.802254367394092,"Albert Pujols",1177,405395
"Ryan Zimmerman","WSN",142,603,25,85,85,4,0.11442786,0.162520729,0.203809524,0.334152334,0.306666666,0.388059701,0.51047619,0.38968515565846634,,141.73570623814675,-0.8262878623791039,29.330650867343863,15.803544521331787,6.592895289401685,"Ryan Zimmerman",4220,475582
"José Bautista","TOR",161,683,54,109,124,9,0.146412884,0.169838945,0.356766256,0.23325062,0.260105448,0.377745241,0.616871704,0.4219347618399913,,165.35607651292048,-0.9078951384872198,51.611821961429335,-12.822339534759521,6.489249296567125,"Jose Bautista",1887,430832
"Adrian Beltré","BOS",154,641,28,84,102,2,0.062402496,0.127925117,0.232597623,0.33127572,0.320882852,0.365054602,0.553480475,0.3908581256677534,,140.2090697867404,-3.446727795060724,26.878059090805422,12.720593690872192,6.421491816000807,"Adrian Beltre",639,134181
"Robinson Canó","NYY",160,696,29,103,109,3,0.081896551,0.110632183,0.214057508,0.325714285,0.319488817,0.380747126,0.533546325,0.3910243810097144,,142.53908105167355,0.8492649169638753,35.6840427699741,1.6983214616775513,6.39026807179094,"Robinson Cano",3269,429664
"Andres Torres","SFG",139,570,16,84,63,26,0.098245614,0.224561403,0.211045365,0.330578512,0.268244575,0.343362831,0.47928994,0.35830871366480527,,124.98563361403883,5.596308291424066,22.662137599857832,20.44669508934021,6.278205235008435,"Andres Torres",1488,400083
"Matt Holliday","STL",158,675,28,95,103,9,0.102222222,0.137777777,0.219798658,0.331236897,0.312080536,0.389629629,0.531879194,0.39739127885130116,,149.44033076683257,-1.062877141404897,38.92674633622601,0.2945590019226074,6.208005531503422,"Matt Holliday",1873,407812
"Brett Gardner","NYY",150,569,5,97,47,47,0.13884007,0.177504393,0.102725367,0.339572192,0.276729559,0.382978723,0.379454926,0.34615567448295875,,112.04777813677805,10.912773893680423,18.97834138273553,20.473432064056396,6.146246684084335,"Brett Gardner",9927,458731
"Shin-Soo Choo","CLE",144,646,22,81,90,22,0.128482972,0.182662538,0.183636363,0.347087378,0.3,0.400928792,0.483636363,0.3861111129362752,,144.94182077562067,1.888228187803179,36.04673542672945,-0.3227519989013672,6.037718032042099,"Shin-Soo Choo",3174,425783
"Miguel Cabrera","DET",150,648,38,111,126,3,0.137345679,0.146604938,0.29379562,0.335697399,0.328467153,0.419753086,0.622262773,0.43116689115375667,,170.7255104369289,-1.8864424917846918,52.035657601909875,-16.405213356018066,6.035239942381676,"Miguel Cabrera",1744,408234
"Brian McCann","ATL",143,566,21,63,77,5,0.130742049,0.173144876,0.183716075,0.296703296,0.269311064,0.374558303,0.453027139,0.3615635329013248,,123.26196996182227,-6.383415529504418,9.393608840927765,30.84758186340332,5.968126428177834,"Brian McCann",4810,435263
"Rickie Weeks Jr.","MIL",160,754,29,112,83,11,0.100795755,0.24403183,0.195084485,0.331818181,0.268817204,0.366047745,0.463901689,0.36767919223251644,,126.8798375380034,6.34223013324663,30.628463284191817,3.718114733695984,5.952978084817422,"Rickie Weeks Jr.",1849,430001
"Carlos González","COL",145,636,34,111,117,26,0.062893081,0.21226415,0.262350936,0.383529411,0.33560477,0.375786163,0.597955706,0.41308999080566844,,144.39447022825627,6.80454067979008,40.6381373705724,-4.742597937583923,5.7394280860339855,"Carlos Gonzalez",7287,471865
"Aubrey Huff","SFG",157,668,26,100,86,7,0.124251497,0.136227544,0.216168717,0.302832244,0.289982425,0.384730538,0.506151142,0.3865308587187915,,143.81674618343237,1.130839423276484,36.20431151761955,-1.314126968383789,5.736640513888353,"Aubrey Huff",1213,333492
"Joe Mauer","MIN",137,584,9,88,75,1,0.111301369,0.090753424,0.14117647,0.348017621,0.32745098,0.40239726,0.46862745,0.3769743877544738,,134.97496998482254,0.3738103397190571,24.405588118251213,10.282467365264893,5.706385239544961,"Joe Mauer",1857,408045
"Troy Tulowitzki","COL",122,529,27,89,95,11,0.09073724,0.147448015,0.253191489,0.327027027,0.314893617,0.380681818,0.568085106,0.40631290576385176,,139.8724875415867,-0.21915510902181268,25.055845670567578,12.104223728179932,5.531262504251437,"Troy Tulowitzki",3531,453064
"Kelly Johnson","ARI",154,671,26,93,71,13,0.117734724,0.220566318,0.211965812,0.33898305,0.283760683,0.369760479,0.495726495,0.3784300838632026,,128.68840049553302,-1.768931828904897,21.298063616244917,9.505609393119812,5.322354036165506,"Kelly Johnson",2234,430637
"Chase Utley","PHI",115,511,16,75,65,13,0.123287671,0.123287671,0.169411765,0.287749287,0.275294117,0.387475538,0.444705882,0.36956937376439103,,128.15735628990868,5.813524872530252,23.055021080415255,12.113499522209167,5.267645470694396,"Chase Utley",1679,400284
"Jay Bruce","CIN",148,573,25,80,70,5,0.10122164,0.237347294,0.212180747,0.33427762,0.280943025,0.352530541,0.493123772,0.36533229032032927,,123.54816299952007,2.147250287234783,18.31590288778491,13.414119720458984,5.107656562831579,"Jay Bruce",9892,457803
"Jayson Werth","PHI",156,652,27,106,85,13,0.125766871,0.225460122,0.236462094,0.352185089,0.29602888,0.388036809,0.532490974,0.3957786198370966,,145.64537012478698,6.0645973067730665,41.726663627549655,-12.734371185302734,5.074250618381211,"Jayson Werth",1327,150029
"Daric Barton","OAK",159,686,10,79,57,7,0.160349854,0.148688046,0.131294964,0.316258351,0.273381294,0.393175074,0.404676258,0.3596650856059222,,126.48350528471654,2.3330175294540823,23.708468406959657,0.3981809616088867,4.977371015510183,"Daric Barton",5928,435558
"Ángel Pagán","NYM",151,633,11,80,69,37,0.069510268,0.153238546,0.134715026,0.331223628,0.29015544,0.339712918,0.424870466,0.3344366286920198,,107.90614613858887,7.086213608738035,13.08316767376639,15.023472666740417,4.922151695853235,"Angel Pagan",2918,434636
"Stephen Drew","ARI",151,633,15,83,61,10,0.097946287,0.170616113,0.180530973,0.32054176,0.277876106,0.351822503,0.458407079,0.3551458061594273,,113.15206001900073,1.4952628761529922,11.471336985064006,15.372673511505127,4.791208179048505,"Stephen Drew",4251,452220
"Ichiro Suzuki","SEA",162,732,6,74,43,42,0.061475409,0.117486338,0.079411765,0.353140916,0.314705882,0.359396433,0.394117647,0.3305002079662664,,110.26088881743779,4.63015350420028,13.467294104165244,6.603017807006836,4.724893921641617,"Ichiro Suzuki",1101,400085
"Jason Heyward","ATL",142,623,18,83,72,11,0.146067415,0.205457463,0.178846154,0.335106382,0.276923076,0.393258426,0.45576923,0.37721887312457564,,133.70793264439843,1.7973755947314203,26.96152984835204,-0.9679598808288574,4.671300712076075,"Jason Heyward",4940,518792
"Dan Uggla","FLA",159,674,33,100,105,4,0.115727002,0.221068249,0.220713073,0.330097087,0.286926994,0.369436201,0.507640067,0.3816865204523007,,135.00699069557146,0.03699207445606589,28.310314787548343,-4.542413949966431,4.602208671160305,"Dan Uggla",3442,462564
"Scott Rolen","CIN",133,537,20,66,83,1,0.093109869,0.152700186,0.212314225,0.302387267,0.284501061,0.357541899,0.496815286,0.3692701081658124,,126.17565608993581,-0.9099750574678183,15.93359069808329,11.794638514518738,4.578483610574019,"Scott Rolen",970,121409
"Michael Bourn","HOU",141,605,2,84,38,52,0.097520661,0.180165289,0.080373832,0.328638497,0.26542056,0.340567612,0.345794392,0.30837497787443474,,88.5745739339952,10.455711795948446,2.1726680776370024,21.832096576690674,4.407968196823869,"Michael Bourn",6387,456422
"Yadier Molina","STL",136,521,6,34,62,8,0.080614203,0.097888675,0.079569892,0.28087167,0.262365591,0.329479768,0.341935483,0.29972761183919033,,84.27464247748485,-5.840509356930852,-15.657998417065835,42.08637714385986,4.392942684844329,"Yadier Molina",7007,425877
"Adrián González","SDP",160,693,31,87,101,0,0.134199134,0.164502164,0.213197969,0.322222222,0.297800338,0.392753623,0.510998307,0.3794406515951375,,142.38585826718614,-1.9263206589967012,33.271549977525254,-12.177886120975018,4.3851222792661435,"Adrian Gonzalez",1908,408236
"Nick Swisher","NYY",150,635,29,91,89,1,0.091338582,0.218897637,0.222614841,0.335,0.287985865,0.359177215,0.510600706,0.37913374300998975,,134.4585930419563,-1.2017752034589648,24.54287338949965,-4.4694740772247314,4.374919190907199,"Nick Swisher",4599,430897
"Chase Headley","SDP",161,674,11,77,58,17,0.083086053,0.206231454,0.11147541,0.323275862,0.263934426,0.326894502,0.375409836,0.312588118973063,,97.77877524967738,3.4524227557703853,1.6584552385303466,18.95987820625305,4.275576576404512,"Chase Headley",4720,452104
"Chris Young","ARI",156,664,27,94,91,28,0.111445783,0.218373493,0.195205479,0.296385542,0.256849315,0.340874811,0.452054794,0.34958313978635347,,109.44039329568983,6.170848353765905,13.682238874892395,6.339566946029663,4.182001647765953,"Chris Young",3882,455759
"Hanley Ramirez","FLA",142,619,21,92,76,32,0.103392568,0.150242326,0.174953959,0.32718894,0.300184162,0.378029079,0.475138121,0.36924822650592054,,126.7075891785203,4.646466228645295,24.45660468165686,-3.213432788848877,4.165966973743617,"Hanley Ramirez",8001,434670
"Alexei Ramirez","CHW",156,626,18,83,70,13,0.04313099,0.130990415,0.148717948,0.3,0.282051282,0.313408723,0.43076923,0.32442974899344545,,95.36902438196361,3.9382009631954134,0.5273516794949931,17.61506462097168,4.142161201279462,"Alexei Ramirez",5133,493351
"Austin Jackson","DET",151,675,4,103,41,27,0.069629629,0.251851851,0.106796117,0.395973154,0.292880258,0.345238095,0.399676375,0.3288681642737931,,101.20664727903701,7.331035630777478,8.289331933566883,7.4668097496032715,4.071640990146893,"Austin Jackson",9848,457706
"Colby Rasmus","STL",144,534,23,85,66,12,0.117977528,0.277153558,0.221982759,0.353535353,0.275862068,0.360902255,0.497844827,0.36879606262903597,,130.36028796365215,6.681040624622256,26.108200674404724,-4.09493625164032,3.976288665295013,"Colby Rasmus",9893,458675
"Alex Rodriguez","NYY",137,595,30,74,125,4,0.099159663,0.164705882,0.235632184,0.274074074,0.270114942,0.34117647,0.505747126,0.3647923175534014,,124.71263017210023,0.25945759611204267,17.559678058942044,-0.13621637225151062,3.95565067435796,"Alex Rodriguez",1274,121347
"Curtis Granderson","NYY",136,528,24,76,67,12,0.100378787,0.219696969,0.221030043,0.276595744,0.246781115,0.32442748,0.467811158,0.3437105512207163,,110.3861524777269,4.029804946389049,10.481952913679148,9.198484182357788,3.9477584760187243,"Curtis Granderson",4747,434158
"Marlon Byrd","CHC",152,630,12,84,66,5,0.049206349,0.155555555,0.136206896,0.334745762,0.293103448,0.346031746,0.429310344,0.3431360649569804,,107.96733312788584,0.39513216353952885,6.40985611796544,12.245221853256226,3.9324455331844907,"Marlon Byrd",950,407781
"B.J. Upton","TBR",154,610,18,89,62,42,0.109836065,0.268852459,0.186567164,0.304469273,0.236940298,0.32183908,0.423507462,0.3284751197421237,,107.27402407346676,8.15965394070372,13.380252159861975,2.750633716583252,3.8757708689579484,"B.J. Upton",5015,425834
"Martín Prado","ATL",140,651,15,100,66,5,0.061443932,0.132104454,0.151919866,0.33531746,0.307178631,0.350308641,0.459098497,0.3534633741474742,,117.85717167197103,4.37989787152037,18.310049283461428,-1.174100637435913,3.8414940287465424,"Martin Prado",3312,445988
"Ben Zobrist","TBR",151,655,10,77,75,24,0.140458015,0.163358778,0.114602588,0.272935779,0.238447319,0.345679012,0.353049907,0.3171141903956854,,99.55350870959266,6.930937589611858,6.586849219980849,7.425576686859131,3.8185797526033824,"Ben Zobrist",7435,450314
"Brandon Phillips","CIN",155,687,18,100,59,16,0.066957787,0.120815138,0.154952077,0.292775665,0.274760383,0.331864904,0.42971246,0.33602555490591945,,103.99336188236573,1.746531440410763,5.033969507845981,10.434825420379639,3.782757646230978,"Brandon Phillips",791,408252
"Ryan Braun","MIL",157,685,25,101,103,14,0.081751824,0.153284671,0.197092084,0.331300813,0.30371567,0.365497076,0.500807754,0.37811838707847095,,133.8453482354348,4.446237337775528,32.227484162788556,-17.199951171875,3.730653536114824,"Ryan Braun",3410,460075
"Victor Martinez","BOS",127,538,20,64,79,1,0.074349442,0.096654275,0.190669371,0.302816901,0.302231237,0.351301115,0.492900608,0.36428833376846886,,122.15310972237518,-2.6008605216629803,11.421872837611282,5.323958992958069,3.679532330313994,"Victor Martinez",393,400121
"Vernon Wells","TOR",157,646,31,79,88,6,0.07739938,0.130030959,0.242372882,0.271966527,0.272881355,0.331269349,0.515254237,0.3634792769940893,,125.63164419814822,-1.4129697387106717,18.06863311532806,-5.2637858390808105,3.6608438402717893,"Vernon Wells",1326,150484
"Placido Polanco","PHI",132,602,6,76,52,5,0.053156146,0.078073089,0.088447653,0.31237721,0.297833935,0.339434276,0.386281588,0.32194963296254475,,96.3832761181306,1.985919464379549,-0.6230801791091549,17.244927883148193,3.6327949849529904,"Placido Polanco",1176,135784
"Cliff Pennington","OAK",156,576,6,64,46,29,0.086805555,0.166666666,0.118110236,0.29584352,0.25,0.319148936,0.368110236,0.30753961564801263,,91.06074369652258,7.556463284417987,1.4983195279720398,12.735124588012695,3.556209146134914,"Cliff Pennington",3395,460060
"Paul Konerko","CHW",149,631,39,89,111,0,0.114104595,0.174326465,0.27189781,0.325925925,0.312043795,0.393026941,0.583941605,0.41693363405573064,,158.23163395054763,-5.226288076955825,38.00558352232784,-25.957282066345215,3.5282154478433485,"Paul Konerko",242,117244
"David Wright","NYM",157,670,29,87,103,19,0.102985074,0.240298507,0.219761499,0.334963325,0.282793867,0.353731343,0.502555366,0.3659544193077376,,128.93626492962406,-1.6229010224342346,21.60871651681843,-8.727463245391846,3.4605030838189688,"David Wright",3787,431151
"Mark Teixeira","NYY",158,712,33,113,108,0,0.130617977,0.171348314,0.224625624,0.268292682,0.2562396,0.365168539,0.480865224,0.3692832326585105,,127.76450894095457,-1.1691279499791563,22.08958571566127,-13.610587239265442,3.4505681577872487,"Mark Teixeira",1281,407893
"Andrew McCutchen","PIT",154,653,16,94,56,33,0.107197549,0.136294027,0.163157895,0.311440677,0.285964912,0.365030674,0.449122807,0.35863298379148023,,123.78883618450884,5.815866198856384,24.430245172583888,-11.25925874710083,3.4366419772214605,"Andrew McCutchen",9847,457705
"Drew Stubbs","CIN",150,583,22,91,77,30,0.094339622,0.288164665,0.188715953,0.33030303,0.254863813,0.329310344,0.443579766,0.3380262886776644,,105.32834342983651,8.247315573506057,11.969714704880257,2.709326982498169,3.371061831863922,"Drew Stubbs",9328,453211
"Alex Rios","CHW",147,617,21,89,88,34,0.06158833,0.150729335,0.172839506,0.305676855,0.283950617,0.333873581,0.456790123,0.34389848100419534,,108.59933679925408,0.3016770747490227,6.544281625664176,3.6885907649993896,3.2893847690547533,"Alex Rios",2090,425567
"Torii Hunter","LAA",152,646,23,76,90,9,0.094427244,0.164086687,0.183246073,0.307349665,0.280977312,0.354489164,0.464223385,0.3568387906998396,,125.65182692842609,-6.938168516382575,12.558774435729628,-4.3910218477249146,3.1799447951950555,"Torii Hunter",731,116338
"Shane Victorino","PHI",147,648,18,84,69,34,0.081790123,0.12191358,0.170357752,0.272912423,0.258943781,0.327160493,0.429301533,0.3311121440601201,,102.4969247287059,5.213655716273934,7.152498662428418,3.4822921752929688,3.1577653867791398,"Shane Victorino",1677,425664
"Orlando Hudson","MIN",126,559,6,80,37,10,0.089445438,0.155635062,0.104627767,0.312039312,0.267605633,0.337545126,0.3722334,0.3188919724109801,,95.50406348095053,2.2257975302636623,-0.7311776570573087,10.332501292228699,3.0144340685932582,"Orlando Hudson",1307,407861
"Adam Dunn","WSN",158,648,38,85,103,0,0.11882716,0.307098765,0.275985663,0.329230769,0.25985663,0.356481481,0.535842293,0.38090018708504103,,135.87397135554647,-4.3467278010211885,23.50913646017228,-14.330010890960693,3.0068027507664077,"Adam Dunn",319,276055
"Corey Hart","MIL",145,614,31,91,102,7,0.073289902,0.228013029,0.241935484,0.323979591,0.283154121,0.340390879,0.525089605,0.3726484041198406,,130.19552414695423,2.1595557564869523,24.37592671389455,-14.53810453414917,2.9672972722591533,"Corey Hart",1945,430611
"Alex Gonzalez","- - -",157,640,23,74,88,1,0.0484375,0.184375,0.196638655,0.27510917,0.250420168,0.293563579,0.447058823,0.3209359299479507,,96.46957106612861,-2.264075073879212,-5.05233589098066,12.47455245256424,2.9524207324961735,"Alex Gonzalez",520,136460
"Ike Davis","NYM",147,601,19,73,71,3,0.119800332,0.229617304,0.175908222,0.320754716,0.263862332,0.35108153,0.439770554,0.34619889499760476,,115.75447093629485,-1.37117512896657,9.974764541385877,-0.45594215393066406,2.8929906577767905,"Ike Davis",8433,477195
"Casey Blake","LAD",146,571,17,56,64,0,0.084063047,0.24168126,0.15913556,0.305322128,0.247544204,0.320422535,0.406679764,0.32109648812133657,,100.52493879228544,1.6809100699611008,2.0400857730702886,8.228439807891846,2.8756075385678845,"Casey Blake",719,232694
"Casey McGehee","MIL",157,670,23,70,104,1,0.074626865,0.152238805,0.178688525,0.306288032,0.285245901,0.337313432,0.463934426,0.34706996553822567,,113.12841406874008,-1.389567891601473,9.15064160964863,-2.305628538131714,2.834502895522075,"Casey McGehee",6086,431171
