Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"Carlos Santana","CLE",4.202175617218018,-8.913756370544434,13.11593246459961,37.65599822998047,3.962500810623169,0.9648136496543884,2.385999917984009,2,2.350785255432129,2.0046419493169996,"Carlos Santana",2396,467793
"Adrián González","LAD",4.33245849609375,-9.969922065734863,14.302379608154297,35.222999572753906,3.9939324855804443,1.0272784233093262,1.9241666793823242,6,2.2480316162109375,1.969382473084301,"Adrian Gonzalez",1908,408236
"Paul Goldschmidt","ARI",7.63640832901001,-11.515372276306152,19.151779174804688,64.52899932861328,7.06517219543457,1.1145288944244385,1.228200078010559,2,5.041398048400879,1.8102936100317004,"Paul Goldschmidt",9218,502671
"Chris Davis","BAL",7.870685577392578,-10.424460411071777,18.295146942138672,69.66400146484375,7.334835529327393,1.0175312757492065,,0,6.009731292724609,1.7253484684330083,"Chris Davis",9272,448801
"Brian Dozier","MIN",1.345367431640625,-11.06617546081543,12.411543846130371,2.919600248336792,0.28735649585723877,1.0359892845153809,,0,-0.40325722098350525,1.7018878648998332,"Brian Dozier",9810,572821
"Kyle Seager","SEA",2.3298397064208984,-11.08749008178711,13.417329788208008,16.139999389648438,1.5904508829116821,0.9537875056266785,2.4023001194000244,2,0.8986970782279968,1.544027000957855,"Kyle Seager",9785,572122
"Michael Brantley","CLE",1.570178508758545,-10.32401180267334,11.894189834594727,9.865400314331055,0.9972195029258728,1.0632352828979492,1.5285999774932861,4,-0.009372729808092117,1.4861658103376185,"Michael Brantley",4106,488726
"Freddie Freeman","ATL",6.080060005187988,-9.021561622619629,15.101621627807617,64.40299987792969,7.212234020233154,1.0092473030090332,,0,4.540671348571777,1.4836796574309297,"Freddie Freeman",5361,518692
"Ryan Zimmerman","WSN",4.3303542137146,-8.861676216125488,13.19202995300293,26.604000091552734,3.013460874557495,0.9322757720947266,1.5759999752044678,2,3.1837573051452637,1.4611710983728763,"Ryan Zimmerman",4220,475582
"Eric Hosmer","KCR",3.5145294666290283,-10.839688301086426,14.354217529296875,25.145999908447266,2.6407270431518555,1.0165622234344482,0.3357999920845032,2,2.0326077938079834,1.424661604571995,"Eric Hosmer",3516,543333
"Ryan Doumit","MIN",1.2049336433410645,-10.2365140914917,11.441448211669922,-5.36799955368042,-0.5832748413085938,1.1285940408706665,1.859587550163269,16,-0.29717618227005005,1.364817512727107,"Ryan Doumit",2113,425491
"Ichiro Suzuki","NYY",0.1995478719472885,-9.236153602600098,9.435702323913574,-8.076300621032715,-0.8013530969619751,0.993932843208313,1.1056922674179077,13,-1.1543458700180054,1.3551118204650885,"Ichiro Suzuki",1101,400085
"Brett Gardner","NYY",2.6842753887176514,-9.525015830993652,12.209291458129883,18.479999542236328,1.9248425960540771,0.9921667575836182,0.8746444582939148,9,1.4243083000183105,1.2811596751989756,"Brett Gardner",9927,458731
"Josh Donaldson","OAK",4.789035797119141,-9.314667701721191,14.103704452514648,44.10700225830078,4.62808084487915,0.924538254737854,,0,3.902280569076538,1.2776411622065407,"Josh Donaldson",5038,518626
"Yadier Molina","STL",2.9132375717163086,-7.807253837585449,10.720492362976074,32.33300018310547,3.6064836978912354,0.9205129146575928,1.175279974937439,5,1.943493366241455,1.2213047863189122,"Yadier Molina",7007,425877
"Michael Bourn","CLE",0.16204962134361267,-9.36939525604248,9.53144645690918,2.990299701690674,0.32920244336128235,1.0111055374145508,1.2474499940872192,4,-1.0468558073043823,1.2071255470567548,"Michael Bourn",6387,456422
"Jimmy Rollins","PHI",0.13272936642169952,-10.943297386169434,11.076027870178223,0.1426001936197281,0.027172327041625977,1.014614462852478,2.1388001441955566,9,-1.0294852256774902,1.1603027640442758,"Jimmy Rollins",971,276519
"Jacoby Ellsbury","BOS",2.233095169067383,-10.50092601776123,12.73402214050293,17.159099578857422,1.8029568195343018,1.0465621948242188,,0,1.0086060762405396,1.1251373172349481,"Jacoby Ellsbury",4727,453056
"Brandon Belt","SFG",3.897440195083618,-9.340497970581055,13.237937927246094,29.3179988861084,3.3223578929901123,1.0837900638580322,1.9043333530426025,12,2.4746625423431396,1.1214584455257355,"Brandon Belt",10264,474832
"Jason Kipnis","CLE",3.56514835357666,-9.636553764343262,13.201702117919922,34.069000244140625,3.5266454219818115,0.9566277861595154,1.5621999502182007,1,2.6615662574768066,1.065221114954983,"Jason Kipnis",9776,543401
"Chris Denorfia","SDP",1.8658618927001953,-8.833674430847168,10.699536323547363,9.540499687194824,1.178757905960083,1.0687388181686401,1.6341416835784912,24,0.7721065878868103,0.9737473672427341,"Chris Denorfia",4400,456121
"Salvador Perez","KCR",1.4555796384811401,-9.30499267578125,10.76057243347168,17.485000610351562,1.819501280784607,1.0394718647003174,1.1030499935150146,4,0.44688326120376587,0.953423652250585,"Salvador Perez",7304,521692
"Justin Morneau","- - -",0.5422601960599422,-11.80892813205719,12.351187705993652,7.401000022888184,0.6902853548526764,1.0728215698890864,1.4676857675824846,7,-0.37733050249516964,0.882782864080334,"Justin Morneau",1737,408047
"Yoenis Cespedes","OAK",1.6333564519882202,-9.915820121765137,11.549176216125488,14.566999435424805,1.57258939743042,0.9749574065208435,2.4423999786376953,1,0.8138965368270874,0.861414036808009,"Yoenis Cespedes",13110,493316
"Elvis Andrus","TEX",0.5056495666503906,-12.600163459777832,13.105812072753906,1.2264995574951172,0.328645259141922,1.0493848323822021,2.2381999492645264,1,-0.37096863985061646,0.8528219610030849,"Elvis Andrus",8709,462101
"Alfonso Soriano","- - -",2.1272518038749695,-11.451032161712646,13.57828426361084,17.715999603271484,1.8289609253406525,1.0105865313166595,1.8245500326156616,4,1.2632129490375519,0.8417545504831909,"Alfonso Soriano",847,150093
"Kendrys Morales","SEA",2.140902280807495,-10.761777877807617,12.902680397033691,14.593000411987305,1.5804996490478516,0.988524317741394,3.652050018310547,4,1.3659874200820923,0.7997683862081204,"Kendrys Morales",8610,434778
