Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Mike Trout","LAA",139,639,30,129,83,49,0.10485133,0.217527386,0.237924866,0.382871536,0.325581395,0.399061032,0.563506261,0.40888749529996254,,167.0438143595375,14.273969498462975,64.36919597135484,10.151297613978386,10.064203998100918,"Mike Trout",10155,545361
"Buster Posey","SFG",148,610,24,78,103,1,0.113114754,0.157377049,0.213207547,0.367541766,0.335849056,0.408196721,0.549056603,0.4062988760064095,,163.89031492123388,-4.597412205301225,41.84894239800597,32.80073666572571,9.765295089633796,"Buster Posey",9166,457763
"Yadier Molina","STL",138,563,22,65,76,12,0.079928952,0.097690941,0.186138614,0.316397228,0.314851485,0.373214285,0.500990099,0.3753712776539137,,138.2499567708127,-4.790488685015589,20.873615712042785,33.5178804397583,7.4929731065223155,"Yadier Molina",7007,425877
"Andrew McCutchen","PIT",157,673,31,107,96,20,0.104011887,0.196136701,0.225969646,0.374712643,0.327150084,0.399702823,0.55311973,0.4028537561496099,,158.01886809188406,3.9687885781750083,50.502863604640034,-0.8958625793457031,7.3422163639871165,"Andrew McCutchen",9847,457705
"Robinson Canó","NYY",161,697,33,105,94,3,0.087517934,0.137733142,0.237639553,0.326,0.312599681,0.37876614,0.550239234,0.3942488052786004,,149.29916541250324,-3.568645739927888,36.61127877766819,9.881294250488281,7.332385000201109,"Robinson Cano",3269,429664
"Miguel Cabrera","DET",161,697,44,109,139,4,0.094691535,0.140602582,0.276527331,0.33127572,0.329581993,0.393113342,0.606109324,0.4172894866150968,,165.86968474590657,-7.47496193787083,46.21030715224515,-0.131860613822937,7.288994985858484,"Miguel Cabrera",1744,408234
"Chase Headley","SDP",161,699,31,95,115,17,0.123032904,0.22460658,0.211920529,0.337292161,0.286423841,0.376251788,0.49834437,0.3775609798376666,,145.4523245193422,1.9264041730202734,39.78984207721647,7.507296800613403,7.1830554197137735,"Chase Headley",4720,452104
"Ryan Braun","MIL",154,677,41,108,112,30,0.093057607,0.189069423,0.275919732,0.345622119,0.319397993,0.391432791,0.595317725,0.41326427549754025,,159.40299640993965,2.4494625674560666,50.37685384346357,-6.232933521270752,6.782570078205595,"Ryan Braun",3410,460075
"David Wright","NYM",156,670,21,91,93,15,0.120895522,0.167164179,0.185886403,0.346578366,0.30636833,0.391044776,0.492254733,0.3757250373698885,,141.22589786558066,-0.6989417718723416,32.218925927306906,10.325170993804932,6.592641978490886,"David Wright",3787,431151
"Adrian Beltré","TEX",156,654,36,95,102,1,0.055045871,0.125382262,0.240066226,0.319191919,0.321192052,0.359327217,0.561258278,0.3875957201508915,,141.80994870906844,-0.6004555243998766,31.37333713719792,7.015349745750427,6.331467298448658,"Adrian Beltre",639,134181
"Ben Zobrist","TBR",157,668,20,88,74,14,0.14520958,0.154191616,0.201785714,0.29571106,0.269642857,0.376876876,0.471428571,0.3653398086521803,,137.13719651420087,-4.182806930504739,24.825497834788397,7.103723704814911,5.704112774032325,"Ben Zobrist",7435,450314
"Aramis Ramirez","MIL",149,630,27,92,105,9,0.069841269,0.13015873,0.240350877,0.309677419,0.3,0.36031746,0.540350877,0.38370288682706427,,139.48240148851863,-3.4429232254624367,26.200672352149446,6.404850602149963,5.423861759516188,"Aramis Ramirez",1002,133380
"Miguel Montero","ARI",141,573,15,65,88,0,0.12739965,0.22687609,0.152263374,0.361516034,0.28600823,0.390924956,0.438271604,0.36352192882507567,,124.62124627183874,-6.090257681906223,10.722982763783538,23.14233112335205,5.3742138167489,"Miguel Montero",3364,471083
"Michael Bourn","ATL",155,703,9,96,57,42,0.099573257,0.220483641,0.11698718,0.349137931,0.274038461,0.348074179,0.391025641,0.3261135868515287,,104.06362277745103,7.934693473391235,11.339210266497723,18.17045307159424,5.332123302231544,"Michael Bourn",6387,456422
"Jason Heyward","ATL",158,651,27,93,82,21,0.089093701,0.233486943,0.209540034,0.318734793,0.269165247,0.335384615,0.478705281,0.3506714178160269,,120.61245978391707,9.523129564709961,25.514938031603137,4.901910305023193,5.261464680447973,"Jason Heyward",4940,518792
"Austin Jackson","DET",137,617,16,103,66,12,0.108589951,0.217179902,0.1786372,0.371212121,0.300184162,0.377235772,0.478821362,0.3714670626128592,,134.39904794666847,0.32168301986530423,25.13977319488291,2.697531580924988,5.095299977311984,"Austin Jackson",9848,457706
"Prince Fielder","DET",162,690,30,83,108,1,0.123188405,0.12173913,0.215146299,0.320675105,0.313253012,0.411594202,0.528399311,0.398239623843914,,152.78632380633806,-7.70700007211417,34.88296457237097,-10.154920101165771,5.027293890723712,"Prince Fielder",4613,425902
"Aaron Hill","ARI",156,668,26,93,85,14,0.077844311,0.128742514,0.220032841,0.316633266,0.302134646,0.359820089,0.522167487,0.37540869667674553,,132.63140742961198,0.604182502720505,26.581783262913127,1.018625259399414,5.020546811401149,"Aaron Hill",6104,431094
"Alex Gordon","KCR",161,721,14,93,72,10,0.101248266,0.194174757,0.160436137,0.356415478,0.294392523,0.367545076,0.45482866,0.357294585545415,,125.6760517943158,-0.8529709279537201,20.794156770387723,2.1518006324768066,4.950038371963579,"Alex Gordon",5209,460086
"Josh Hamilton","TEX",148,636,43,103,128,7,0.094339622,0.254716981,0.291814947,0.319672131,0.284697508,0.353773584,0.576512455,0.38674584064590795,,141.22625524878472,4.796649385243654,35.45634047108554,-10.61069655418396,4.848939130912139,"Josh Hamilton",1875,285078
"Torii Hunter","LAA",140,584,16,81,92,9,0.065068493,0.227739726,0.138576779,0.389175257,0.312734082,0.365351629,0.451310861,0.35626246029978353,,130.90117461274116,3.9340188479982316,25.036066844807266,0.3280510902404785,4.719648000740651,"Torii Hunter",731,116338
"Jimmy Rollins","PHI",156,699,23,102,68,30,0.08869814,0.137339055,0.177215189,0.261627906,0.25,0.31563845,0.427215189,0.3221957167275518,,100.75674011585583,7.704182705376297,8.334574719191298,14.958414077758789,4.668025731658353,"Jimmy Rollins",971,276519
"Matt Holliday","STL",157,688,27,95,102,4,0.109011627,0.191860465,0.202003339,0.337078651,0.295492487,0.379360465,0.497495826,0.37837217515402466,,140.27217785679707,-0.05928664607927203,32.96096085601431,-9.806576251983643,4.61844973595462,"Matt Holliday",1873,407812
"Joe Mauer","MIN",147,641,10,81,85,8,0.140405616,0.137285491,0.126605504,0.364444444,0.319266055,0.415625,0.445871559,0.37553697956932913,,138.4888003131168,-1.6401083753444254,27.208786109442226,-4.741842091083527,4.617366563300239,"Joe Mauer",1857,408045
"Ángel Pagán","SFG",154,659,8,95,56,29,0.072837632,0.147192716,0.152066116,0.329365079,0.287603305,0.337899543,0.439669421,0.3338466335110869,,115.06677046645817,9.31232395581901,21.145255619171376,2.7443530559539795,4.603068193357034,"Angel Pagan",2918,434636
"Edwin Encarnación","TOR",151,644,42,93,110,13,0.130434782,0.145962732,0.276752767,0.266343825,0.280442804,0.383540372,0.557195571,0.3959786924003046,,150.16293250177205,2.7466500219888985,40.52174420955699,-18.759766578674316,4.5540969840515375,"Edwin Encarnacion",2151,429665
"Martín Prado","ATL",156,690,10,81,70,17,0.084057971,0.1,0.136142626,0.321755027,0.30145867,0.358600583,0.437601296,0.3452435540176972,,116.95477383348805,1.4721440644934773,15.4142334061351,6.954348087310791,4.542490796116082,"Martin Prado",3312,445988
