Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"Bobby Abreu","LAA",3.3037326335906982,-8.94646167755127,12.250194549560547,13.306000709533691,1.472847819328308,1.0118452310562134,1.9239429235458374,7,0.6543642282485962,2.6106930474991,"Bobby Abreu",945,110029
"Josh Hamilton","TEX",4.948212623596191,-6.417734146118164,11.365945816040039,29.378000259399414,2.9808127880096436,0.8487613201141357,,0,3.625574827194214,2.2043475624486,"Josh Hamilton",1875,285078
"Chris Young","ARI",2.613495111465454,-11.326858520507812,13.940354347229004,14.021300315856934,1.4695478677749634,1.0036957263946533,3.7323999404907227,1,0.6690652966499329,1.9348066166572155,"Chris Young",3882,455759
"Jacoby Ellsbury","BOS",6.252501964569092,-11.157238006591797,17.409740447998047,59.02320098876953,5.861933708190918,0.974881649017334,2.100600004196167,3,4.552082061767578,1.8615189849559082,"Jacoby Ellsbury",4727,453056
"John Buck","FLA",0.13557597994804382,-9.747380256652832,9.882956504821777,-10.312999725341797,-1.1114304065704346,1.0990517139434814,2.0068445205688477,9,-1.6330024003982544,1.7563596348468382,"John Buck",2041,407833
"Joey Votto","CIN",7.01674222946167,-10.986177444458008,18.002920150756836,62.91699981689453,6.671591758728027,1.058196783065796,1.597599983215332,2,4.987194538116455,1.6436536573702512,"Joey Votto",4314,458015
"Prince Fielder","MIL",7.6299614906311035,-10.12701416015625,17.756977081298828,61.194000244140625,6.58078145980835,0.9970681071281433,,0,6.151247024536133,1.5011504757787577,"Prince Fielder",4613,425902
"Kelly Johnson","- - -",1.059893786907196,-10.836615800857544,11.896510362625122,2.612200081348419,0.2713300846517086,1.0407738646795583,1.2990000247955322,8,-0.3834058940410614,1.4017767648675732,"Kelly Johnson",2234,430637
"Miguel Cabrera","DET",7.5182881355285645,-9.941306114196777,17.4595947265625,69.69300079345703,7.083813190460205,1.0058027505874634,3.1465001106262207,2,6.093312740325928,1.381600338940685,"Miguel Cabrera",1744,408234
"Darwin Barney","CHC",0.4444285035133362,-9.877389907836914,10.321818351745605,-6.047999858856201,-0.6527178287506104,1.0391854047775269,0.49149999022483826,8,-0.8960474133491516,1.3237174917299015,"Darwin Barney",2430,446381
"Ryan Howard","PHI",4.628828048706055,-10.297996520996094,14.926823616027832,35.86399841308594,3.807361602783203,1.0343883037567139,1.5082499980926514,4,3.1532392501831055,1.321703120969949,"Ryan Howard",2154,429667
"Johnny Damon","TBR",2.2303643226623535,-9.956868171691895,12.18723201751709,15.631500244140625,1.6640431880950928,0.9619510173797607,1.0698333978652954,6,1.0269771814346313,1.2916069069086595,"Johnny Damon",185,113028
"Danny Espinosa","WSN",1.1697720289230347,-11.899441719055176,13.0692138671875,12.870100021362305,1.3585402965545654,1.1034871339797974,0.4950000047683716,1,-0.1603924185037613,1.2204609892211893,"Danny Espinosa",9219,457787
"Dexter Fowler","COL",1.6505159139633179,-9.355673789978027,11.006190299987793,15.052399635314941,1.389041543006897,1.012396216392517,1.1620399951934814,5,0.4389247000217438,1.1913815844531428,"Dexter Fowler",4062,451594
"Yunel Escobar","TOR",2.2430319786071777,-8.78774356842041,11.030776023864746,17.925098419189453,1.778666377067566,0.9345314502716064,3.286900043487549,2,1.253037691116333,1.1471297702947054,"Yunel Escobar",4191,488862
"Ryan Roberts","ARI",2.8438220024108887,-9.517427444458008,12.361249923706055,17.757999420166016,1.9076814651489258,1.0043553113937378,0.8884000182151794,15,1.7225018739700317,1.1089881078617307,"Ryan Roberts",5653,440251
"Alfonso Soriano","CHC",1.123689889907837,-9.929034233093262,11.05272388458252,6.329999923706055,0.7375297546386719,1.0886324644088745,2.2151427268981934,7,-0.06573344022035599,1.0979366186530317,"Alfonso Soriano",847,150093
"Coco Crisp","OAK",0.8479293584823608,-10.21205997467041,11.059989929199219,-1.8264997005462646,-0.14373134076595306,1.044838786125183,3.2588000297546387,2,-0.2635374665260315,1.0750783183228267,"Coco Crisp",1572,424825
