Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Tyler Matzek","ATL",3,0,0,13,0,15.2,13.78723460206517,2.2978724336775285,0,0.3125,0.78571429,0.29032258,0,,1.7234043252581464,,0.8721616887895127,2.786682371931817,,"Tyler Matzek",10058,554431
"Ian Anderson","ATL",2,0,0,4,4,17,8.470588235294118,3.7058823529411766,0.5294117647058824,0.19047619047619047,0.90361446,0.395348837,0.05,,1.588235294117647,,3.640622357761159,4.951636624336243,,"Ian Anderson",19951,666120
"Logan Webb","SFG",1,0,0,2,2,14.2,10.43181863402534,0.6136363902367847,0,0.2571428571428571,0.9,0.6,0,,0.6136363902367847,,1.0563976672070048,1.6578847818905944,,"Logan Webb",17995,657277
"Will Smith","ATL",2,0,6,11,0,11,6.545454545454546,2.4545454545454546,0,0.17857142857142858,1,0.37037037,0,,0,,2.533670486103405,4.458429169654846,,"Will Smith",8048,519293
"Phil Maton","HOU",0,0,0,12,0,12.1,10.216218849444736,2.189189753452444,0.7297299178174812,0.25806451612903225,1,0.354838709,0.09090909,,0.7297299178174812,,2.6835475105887205,3.203113865518504,,"Phil Maton",18064,664208
"Brusdar Graterol","LAD",0,1,0,8,0,9,7.000001483493696,0,0,0.16666666666666666,0.83333333,0.565217391,0,,1.0000002119276707,,2.2811450451980004,3.4573867122019855,,"Brusdar Graterol",20367,660813
"Lance McCullers Jr.","HOU",1,0,0,2,2,10.2,7.593750452622798,2.531250150874266,0.843750050291422,0.2857142857142857,1,0.620689655,0.2,,0.843750050291422,,3.8262841615825915,3.434578885073648,,"Lance McCullers Jr.",14120,621121
"Ryan Pressly","HOU",0,0,1,9,0,9.2,13.034483615907051,1.8620690879867217,0.9310345439933608,0.25,1,0.476190476,0.125,,0.9310345439933608,,2.5493444264714675,2.66467860778575,,"Ryan Pressly",7005,519151
"Kendall Graveman","HOU",1,0,0,9,0,11,9,3.272727272727273,0.8181818181818182,0.2222222222222222,0.94339623,0.392857142,0.083333333,,1.6363636363636365,,3.7154886679215866,4.458429169654846,,"Kendall Graveman",15514,608665
"Ryne Stanek","HOU",2,0,0,13,0,11,9.000000780279054,1.6363637782325553,1.6363637782325553,0.13043478260869565,0.95238095,0.52,0.2,,2.454545667348833,,4.079125110374016,3.3194542505021642,,"Ryne Stanek",15947,592773
"Max Scherzer","LAD",0,1,1,4,3,16.2,12.420000473785418,2.70000010299683,1.080000041198732,0.21621621621621623,0.90909091,0.342105263,0.125,,2.160000082397464,,3.050034117889404,3.1838217645182665,,"Max Scherzer",3137,453286
