Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Gerrit Cole","HOU",4,1,0,5,5,36.2,11.536362036082592,2.6999996254661385,0.9818180456240504,0.2236842105263158,0.9469697,0.367088607,0.108108108,,1.7181815798420883,,2.9685549643019953,3.55766263619054,,"Gerrit Cole",13125,543037
"Stephen Strasburg","WSN",5,0,0,6,5,36.1,11.64220346464153,0.9908258267780027,0.9908258267780027,0.2988505747126437,0.88028169,0.461538461,0.153846153,,1.9816516535560054,,2.3883212867263395,2.3805970543822133,,"Stephen Strasburg",10131,544931
"Max Scherzer","WSN",3,0,0,6,5,30,11.1,4.5,1.2,0.2463768115942029,0.92105263,0.338028169,0.121212121,,2.4,,3.980676142374675,4.435469279189905,,"Max Scherzer",3137,453286
"Andrew Miller","STL",0,0,0,6,0,5,10.800004119874618,3.6000013732915397,0,0.1111111111111111,1,0.111111111,0,,0,,2.6140092468260847,5.398898543911578,,"Andrew Miller",6785,453192
"Walker Buehler","LAD",1,0,0,2,2,12.2,10.657892062063704,4.263156824825481,0,0.18518518518518517,0.91666667,0.481481481,0,,0.7105261374709135,,2.5034833382370945,3.916866110175752,,"Walker Buehler",19374,621111
"Masahiro Tanaka","NYY",2,1,0,3,3,16,6.75,2.25,0.5625,0.17073170731707318,0.68965517,0.476190476,0.076923076,,2.25,,3.464009475708008,4.267739254795015,,"Masahiro Tanaka",15764,547888
"Aníbal Sánchez","WSN",1,1,0,3,3,18,9,2,1,0.2653061224489796,0.87912088,0.265306122,0.076923076,,2.5,,3.6584539201524526,5.087306860751577,,"Anibal Sanchez",3284,434671
"Miles Mikolas","STL",1,1,0,3,2,12,6.75,3,0,0.2702702702702703,0.85714286,0.457142857,0,,1.5,,2.7140094757080084,4.868982514490685,,"Miles Mikolas",9803,571945
"Zack Britton","NYY",0,0,0,7,0,8,6.75,6.75,1.125,0.05263157894736842,1,0.55,0.2,,1.125,,5.589009475708008,5.207263151928783,,"Zack Britton",3240,502154
"Sean Doolittle","WSN",0,0,2,9,0,10.1,6.9677466512626625,0.8709683314078328,0.8709683314078328,0.18518518518518517,0.89285714,0.259259259,0.071428571,,1.7419366628156656,,3.214009475708008,4.650999062523408,,"Sean Doolittle",1581,448281
"Will Harris","HOU",0,1,1,12,0,9.2,10.241383015047704,0.9310348195497913,1.8620696390995826,0.2608695652173913,1,0.48,0.181818181,,1.8620696390995826,,3.9381476686911787,3.512071449199437,,"Will Harris",3192,501789
"Charlie Morton","TBR",2,0,0,2,2,10,11.7,4.5,0.9,0.2916666666666667,0.94827586,0.56,0.2,,0.9,,3.414009475708008,3.1086124166846276,,"Charlie Morton",4676,450203
