Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Zack Wheeler","PHI",3,0,0,5,4,27.2,11.385542430315647,0.9759036368841985,0.9759036368841985,0.22580645161290322,0.82278481,0.446153846,0.111111111,,1.951807273768397,,2.459859618332168,2.6637330214504487,,"Zack Wheeler",10310,554430
"Merrill Kelly","ARI",3,1,0,4,4,24,10.5,3,1.5,0.1568627450980392,0.97222222,0.4,0.137931034,,2.25,,4.088373692830404,3.9195070621867982,,"Merrill Kelly",11156,518876
"Josh Sborz","TEX",0,0,1,10,0,12,9.7500023245817,3.000000715255908,0,0.15384615384615385,0.875,0.5,0,,0.750000178813977,,2.0883734146753286,3.4661668714586527,,"Josh Sborz",18323,622250
"Aaron Nola","PHI",3,1,0,4,4,23,9,1.565217391304348,0.782608695652174,0.2711864406779661,0.84158416,0.491803278,0.095238095,,2.347826086956522,,3.0376490551492443,3.416796308755875,,"Aaron Nola",16149,605400
"Ranger Suárez","PHI",1,1,0,4,4,18.2,9.160715533762732,0.9642858456592349,0.48214292282961746,0.24489795918367346,0.80882353,0.530612244,0.058823529,,1.9285716913184698,,2.2371830779678783,3.04648567843118,,"Ranger Suarez",17277,624133
"Kevin Ginkel","ARI",1,0,0,10,0,11.2,11.571430147910819,3.8571433826369397,0,0.3076923076923077,1,0.541666666,0,,0,,1.9693258986180906,3.3864847379336194,,"Kevin Ginkel",19876,656464
"Nathan Eovaldi","TEX",5,0,0,6,6,36.2,10.063637061631432,2.454545624788154,0.7363636874364463,0.2857142857142857,0.79365079,0.5,0.12,,2.9454547497457853,,2.9823130678539425,3.0459619954163215,,"Nathan Eovaldi",9132,543135
"Pablo López","MIN",2,0,0,2,2,12.2,7.1052635145319645,2.131579054359589,0,0.2894736842105263,0.93333333,0.324324324,0,,0.7105263514531964,,2.623461380427563,5.10348913583373,,"Pablo Lopez",17085,641154
"Phil Maton","HOU",0,0,0,6,0,6,10.500003337861168,1.5000004768373099,0,0.08333333333333333,1,0.636363636,0,,0,,1.4217064433625808,2.2483825831309074,,"Phil Maton",18064,664208
"Ryan Pressly","HOU",1,0,3,5,0,6,15,3,0,0.2222222222222222,1,0.777777777,0,,0,,0.9217070261637375,1.1972656518220908,,"Ryan Pressly",7005,519151
"Jordan Montgomery","TEX",3,1,0,6,5,31,4.935484022801431,1.4516129478827737,0.8709677687296642,0.3090909090909091,0.82010582,0.412844036,0.085714285,,2.9032258957655475,,3.900201669667193,4.508824636398878,,"Jordan Montgomery",16511,656756
"Matt Strahm","PHI",0,0,1,7,0,5.1,8.43750201165724,3.3750008046628963,0,0.23076923076923078,1,0.307692307,0,,0,,2.5050401806830935,4.365061347340581,,"Matt Strahm",13799,621381
"Ryan Thompson","ARI",1,0,0,9,0,11.2,6.171429412219104,3.085714706109552,0,0.3235294117647059,0.8,0.588235294,0,,2.314286029582164,,2.9121831699293423,3.904194357450213,,"Ryan Thompson",16647,657044
"José Alvarado","PHI",0,0,0,8,0,8,6.7500008046628,3.3750004023314,0,0.2916666666666667,0.9,0.416666666,0,,1.1250001341104667,,2.8800403147935816,4.5333922658386125,,"Jose Alvarado",17780,621237
"Justin Verlander","HOU",1,1,0,3,3,18.1,6.872727749406832,2.9454547497457853,1.4727273748728926,0.2549019607843137,0.90425532,0.296296296,0.103448275,,2.9454547497457853,,5.000495026013091,5.4885241979284345,,"Justin Verlander",8700,434378
"Brandon Pfaadt","ARI",0,1,0,5,5,22,10.636364558511609,2.045454722790694,1.2272728336744165,0.3018867924528302,0.80808081,0.37037037,0.136363636,,3.2727275564651106,,3.345949458287768,3.2265739291610345,,"Brandon Pfaadt",27782,694297
"Jhoan Duran","MIN",0,0,2,4,0,5,10.8,1.8,0,0.18181818181818182,1,0.545454545,0,,0,,1.4550403594970704,2.447051411867142,,"Jhoan Duran",21029,661395
"Dane Dunning","TEX",1,1,0,5,0,7,6.4285723043948995,6.4285723043948995,1.28571446087898,0.3333333333333333,0.77586207,0.727272727,0.166666666,,5.14285784351592,,5.826469281255031,5.3864850104120325,,"Dane Dunning",19409,641540
"Jon Gray","TEX",1,0,0,3,0,5.2,12.705883778502944,1.588235472312868,0,0.3076923076923077,0.8,0.384615384,0,,1.588235472312868,,0.9609224550451501,2.4197624016197476,,"Jon Gray",14916,592351
"Griffin Jax","MIN",0,0,0,4,0,3.2,12.272729400761241,0,0,0.14285714285714285,1,0.571428571,0,,0,,0.5277671593279059,1.4295955451280744,,"Griffin Jax",20253,643377
"Michael Lorenzen","PHI",0,0,0,2,0,2.2,3.3750008046628963,6.750001609325793,0,0.25,1,0.5,0,,0,,4.755040717125024,5.995054828230016,,"Michael Lorenzen",14843,547179
"Emilio Pagán","MIN",0,0,0,2,0,2,4.5,4.5,0,0,1,0,0,,0,,3.7550403594970705,7.0617438673973085,,"Emilio Pagan",14771,641941
"Hoby Milner","MIL",0,0,0,2,0,2.1,7.714289918240094,0,0,0.3333333333333333,1,0.5,0,,0,,1.540753710999272,2.957913129532825,,"Hoby Milner",13346,571948
"DL Hall","BAL",0,0,0,2,0,3.1,16.20000617981193,2.7000010299686545,0,0.2,1,0.4,0,,0,,0.555039329528416,2.043056475717017,,"DL Hall",22207,669084
"Chris Paddack","MIN",0,0,0,2,0,3.2,14.727275280913489,0,0,0.16666666666666666,1,0.333333333,0,,0,,-0.017687480705927072,1.3350550979943256,,"Chris Paddack",20099,663978
"Spencer Strider","ATL",0,2,0,2,2,12.2,10.657895271797948,3.5526317572659822,2.8421054058127857,0.2962962962962963,1,0.483870967,0.363636363,,2.8421054058127857,,6.41293525484461,3.743477433496379,,"Spencer Strider",27498,675911
"Brusdar Graterol","LAD",0,0,0,2,0,3,6,3,0,0.14285714285714285,1,0.571428571,0,,0,,2.9217070261637375,2.9217070261637375,,"Brusdar Graterol",20367,660813
"Raisel Iglesias","ATL",0,0,1,3,0,2.1,7.714286765273879,0,0,0,1,0,0,,0,,1.5407544116584306,4.375072090289488,,"Raisel Iglesias",17130,628452
"Hunter Brown","HOU",0,0,0,4,0,7,7.714285714285714,1.2857142857142858,1.2857142857142858,0.2777777777777778,0.89285714,0.421052631,0.25,,2.5714285714285716,,3.8264689309256417,2.9140985046114243,,"Hunter Brown",25880,686613
"Tyler Wells","BAL",0,0,0,3,0,3.1,8.10000077247627,0,0,0.125,1,0.125,0,,0,,1.4550401878356776,4.927079202250371,,"Tyler Wells",20000,669330
"Joel Payamps","MIL",0,0,0,1,0,1.2,10.800004119874618,5.400002059937309,0,0.3333333333333333,1,1,0,,0,,2.655040130615147,2.655040130615147,,"Joel Payamps",14332,606303
"Seranthony Domínguez","PHI",0,0,0,6,0,5.1,11.812504928561122,5.06250211224048,0,0.375,0.88888889,0.375,0,,0,,2.3175399683414257,3.8675578843875336,,"Seranthony Dominguez",19249,622554
"Jeff Hoffman","PHI",1,1,0,8,0,7,11.571433300876604,1.2857148112085115,1.2857148112085115,0.26666666666666666,0.89285714,0.5625,0.166666666,,2.571429622417023,,3.397897560742461,2.957913170013214,,"Jeff Hoffman",17432,656546
"Slade Cecconi","ARI",0,0,0,2,0,2,4.5,0,0,0.4,1,0.4,0,,0,,2.2550403594970705,3.9083921134471895,,"Slade Cecconi",27500,677944
"Cody Bradford","TEX",1,0,0,5,0,7.2,5.869566434272773,0,1.1739132868545545,0.14285714285714285,1,0.19047619,0.066666666,,1.1739132868545545,,3.6463447884485887,5.185511582669221,,"Cody Bradford",27597,674003
"Pierce Johnson","ATL",0,0,0,3,0,2.2,13.500003218651585,6.750001609325793,0,0.2857142857142857,1,0.333333333,0,,0,,2.5050401806830935,4.365061347340581,,"Pierce Johnson",13435,572955
"Joe Mantiply","ARI",2,1,0,9,2,7.2,7.043481911515107,4.6956546076767385,0,0.2608695652173913,0.5,0.52173913,0,,4.6956546076767385,,3.2550403594970705,4.9802778665073575,,"Joe Mantiply",14857,573009
"Evan Phillips","LAD",0,0,0,2,0,2.1,11.571430147910819,3.8571433826369397,0,0.2857142857142857,1,0.666666666,0,,0,,3.2550403594970705,4.672199198812599,,"Evan Phillips",17734,623465
"José Berríos","TOR",0,1,0,1,1,3,15,3,0,0.5,0.75,0.666666666,0,,3,,0.9217070261637375,0.9217070261637375,,"Jose Berrios",14168,621244
"Shelby Miller","LAD",0,0,0,1,0,2,13.5,0,0,0.25,1,0.5,0,,0,,0.2550403594970705,1.9083921134471895,,"Shelby Miller",10197,571946
"Danny Coulombe","BAL",0,0,0,2,0,1,9.000009655962813,9.000009655962813,0,0,1,1,0,,0,,4.2550414323818275,4.2550414323818275,,"Danny Coulombe",13293,543056
"Jordan Romano","TOR",0,0,0,1,0,1.1,6.750001609325793,0,0,0.25,1,0.75,0,,0,,4.0050405383110474,5.245054649416039,,"Jordan Romano",16122,605447
"Zack Littell","TBR",0,0,0,1,0,2,18,0,0,0,1,0,0,,0,,0.7550403594970705,2.4083921134471895,,"Zack Littell",15823,641793
"Rafael Montero","HOU",0,0,0,5,0,5,14.400002746582555,5.400001029968458,0,0.2222222222222222,0.5,0.444444444,0,,3.6000006866456387,,2.4550402069091506,3.1163810346299505,,"Rafael Montero",12760,606160
"Aroldis Chapman","TEX",0,0,0,9,0,8,6.750002413988977,5.625002011657481,1.1250004023314961,0.2857142857142857,0.94827586,0.5,0.111111111,,2.2500008046629922,,5.630041208863562,5.865062016107437,,"Aroldis Chapman",10233,547973
"Elvis Peguero","MIL",0,0,0,2,0,1.2,10.800004119874618,0,0,0.25,1,1,0,,0,,0.8550394439693774,0.8550394439693774,,"Elvis Peguero",21652,665625
"Joe Kelly","LAD",0,0,0,1,0,1.2,16.20000617981193,5.400002059937309,0,0.5,1,0.5,0,,0,,1.4550396728513006,1.4550396728513006,,"Joe Kelly",9761,523260
"Cionel Pérez","BAL",0,0,0,2,0,1.2,21.600008239749236,5.400002059937309,0,0.5,1,1,0,,0,,0.2550392150874541,0.2550392150874541,,"Cionel Perez",19614,672335
"Caleb Ferguson","LAD",0,0,0,2,0,2.1,7.714286765273879,3.8571433826369397,0,0,1,1,0,,0,,2.8264688725374105,2.8264688725374105,,"Caleb Ferguson",19349,657571
"Chad Green","TOR",0,0,0,1,0,1.1,6.750001609325793,0,0,0,1,0.666666666,0,,0,,1.7550400018691166,2.9950541129741084,,"Chad Green",15552,643338
"Yimi García","TOR",0,0,0,1,0,1.1,20.250004827977378,6.750001609325793,0,0,1,0,0,,0,,1.0050398230551396,2.245053934160131,,"Yimi Garcia",12095,554340
"Kyle Gibson","BAL",0,0,0,1,0,3,3,3,3,0,1,0.25,0.25,,3,,7.9217070261637375,5.79284269809723,,"Kyle Gibson",10123,502043
"Joe Jiménez","ATL",0,0,0,1,0,1,9,9,0,0.3333333333333333,1,0,0,,0,,4.2550403594970705,7.5617438673973085,,"Joe Jimenez",15761,641729
"Huascar Brazobán","MIA",0,0,0,1,0,1,18,9,0,0,1,1,0,,0,,2.2550403594970705,2.2550403594970705,,"Huascar Brazoban",6107,623211
"Tanner Scott","MIA",0,0,0,1,0,1,9,0,0,0,1,0.5,0,,0,,1.2550403594970705,2.9083921134471895,,"Tanner Scott",17586,656945
"A.J. Puk","MIA",0,0,0,1,0,1,9,0,0,0.3333333333333333,1,0.333333333,0,,0,,1.2550403594970705,2.9083921134471895,,"A.J. Puk",19343,640462
"George Soriano","MIA",0,0,0,1,0,1,9,0,0,0,1,0,0,,0,,1.2550403594970705,4.5617438673973085,,"George Soriano",21863,666277
