Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Matt Moore","TBR",1,0,0,2,1,10,7.2,2.7,0.9,0.08333333333333333,1,0.375,0.083333333,,0.9,,3.9253862857818604,4.132895058393478,,"Matt Moore",1890,519043
"Neftalí Feliz","TEX",0,0,6,11,0,11.1,9.529417645151144,6.352945096767429,0,0.2,0.78571429,0.260869565,0,,2.382354411287786,,3.2900923314805035,4.952786856705654,,"Neftali Feliz",18,491703
"Roy Halladay","PHI",1,1,0,2,2,16,8.4375,1.125,0.5625,0.19047619047619047,0.72916667,0.578947368,0.125,,2.25,,2.3378862857818605,2.1535149410367014,,"Roy Halladay",1303,136880
"Chris Carpenter","STL",4,0,0,6,6,36,5.25,2.75,1,0.24770642201834864,0.81218274,0.550458715,0.137931034,,3.25,,4.469830730226305,4.037371341470215,,"Chris Carpenter",1292,112020
"Jason Motte","STL",0,1,5,12,0,12.1,5.8378425024166,0.729730312802075,0.729730312802075,0.12121212121212122,0.43478261,0.352941176,0.058823529,,2.1891909384062247,,3.025386285781861,3.7029306875886525,,"Jason Motte",5861,435400
"Yovani Gallardo","MIL",1,1,0,3,3,19,7.578947368421052,3.789473684210526,0.9473684210526315,0.3018867924528302,0.86206897,0.472727272,0.1,,2.8421052631578947,,3.972754706834492,3.926709770528894,,"Yovani Gallardo",8173,451596
"Joaquín Benoit","DET",0,0,0,5,0,7.2,10.565218267458896,3.521739422486299,1.1739131408287662,0.2,1,0.375,0.125,,1.1739131408287662,,3.547125459483534,3.1623504472371113,,"Joaquin Benoit",1437,276542
"Takashi Saito","MIL",1,0,0,6,0,7,6.428571428571429,0,0,0.2222222222222222,1,0.5,0,,0,,2.4539577143532894,3.530749694790159,,"Takashi Saito",6021,493416
"Doug Fister","DET",2,1,0,3,2,17,6.882352941176471,2.1176470588235294,0.5294117647058824,0.33962264150943394,0.66371681,0.509433962,0.0625,,4.764705882352941,,3.14303334460539,3.56068728390862,,"Doug Fister",9425,450729
"Cole Hamels","PHI",1,0,0,1,1,6,12,4.5,0,0.3333333333333333,1,0.533333333,0,,0,,2.3587196191151945,3.1962244927883154,,"Cole Hamels",4972,430935
"Josh Collmenter","ARI",1,0,0,1,1,7,7.714285714285714,2.5714285714285716,1.2857142857142858,0.0625,1,0.117647058,0.071428571,,1.2857142857142858,,4.453957714353289,5.109329478229796,,"Josh Collmenter",7312,518567
"Bryan Shaw","ARI",0,0,0,4,0,4,6.749995172027226,2.249998390675742,0,0,1,0.555555555,0,,0,,2.27538682222328,2.9035150282058177,,"Bryan Shaw",8110,543766
"John Axford","MIL",1,0,3,6,0,7,11.571428571428571,2.5714285714285716,0,0.29411764705882354,0.85714286,0.5625,0,,1.2857142857142858,,1.3111005714961463,2.2084272218602043,,"John Axford",9059,446099
"Rafael Soriano","NYY",0,1,0,3,0,4.2,7.714280459349183,0,1.9285701148372958,0,1,0.3,0.142857142,,1.9285701148372958,,4.096814127358136,3.195486421389147,,"Rafael Soriano",1100,400089
"Colby Lewis","TEX",1,1,0,4,4,23.2,7.605632781225824,3.422534751551621,1.521126556245165,0.18461538461538463,0.77319588,0.434782608,0.137931034,,3.04225311249033,,4.673273388380789,4.015447927646349,,"Colby Lewis",1259,407890
"Scott Feldman","TEX",1,0,0,9,0,13.2,7.243905303452426,3.951221074610414,0,0.21621621621621623,0.6875,0.571428571,0,,3.2926842288420115,,3.1717278070637276,3.815176927858816,,"Scott Feldman",6283,444857
"Derek Holland","TEX",2,0,0,6,4,24,5.25,3,2.25,0.22535211267605634,0.88495575,0.545454545,0.24,,3.375,,6.2337196191151945,4.2923209842294465,,"Derek Holland",4141,502706
"Boone Logan","NYY",0,0,0,3,0,2.1,23.14286975472028,0,0,0.5,1,0.5,0,,0,,-2.1174736597115356,-1.5790773760904102,,"Boone Logan",5525,457429
"Lance Lynn","STL",2,0,0,10,0,11,4.090911928289191,4.090911928289191,1.6363647713156761,0.25,0.90163934,0.515151515,0.166666666,,3.2727295426313523,,5.843570058603303,4.850395526675651,,"Lance Lynn",2520,458681
"A.J. Burnett","NYY",1,0,0,1,1,5.2,4.7647032094264254,6.352937612568568,1.588234403142142,0.1875,1,0.625,1,,1.588234403142142,,6.378325581304161,4.305901563404433,,"A.J. Burnett",512,150359
"Micah Owings","ARI",1,0,0,2,0,3,3,0,0,0.2,1,0.2,0,,0,,2.3587196191151945,4.871234240134558,,"Micah Owings",4253,452249
"Octavio Dotel","STL",2,1,0,12,0,10.1,12.193556639709659,1.7419366628156656,0.8709683314078328,0.18181818181818182,0.60606061,0.391304347,0.142857142,,2.6129049942234985,,2.444740731509972,2.0376889566847205,,"Octavio Dotel",555,136734
"Wade Davis","TBR",0,0,0,2,0,2.1,3.8571481120901274,3.8571481120901274,0,0.14285714285714285,1,0.285714285,0,,0,,3.4539582982363193,5.069148469413599,,"Wade Davis",7441,451584
"Ryan Madson","PHI",0,0,1,4,0,4.1,12.461531148158647,0,0,0.4444444444444444,0.75,0.555555555,0,,2.076921858026441,,0.25615714174660553,0.5460625048025021,,"Ryan Madson",1852,425492
"Arthur Rhodes","STL",0,0,0,8,0,2.2,10.125010561209013,3.375003520403004,0,0,1,0.4,0,,0,,1.9003851123141928,3.3136760608149216,,"Arthur Rhodes",1097,121125
"Francisco Rodríguez","MIL",0,0,0,5,0,5,14.4,7.2,0,0.4166666666666667,0.88888889,0.636363636,0,,1.8,,2.2253862857818607,2.476637747883797,,"Francisco Rodriguez",1642,408061
"Mariano Rivera","NYY",0,0,0,2,0,1.1,6.750001609325793,0,0,0,1,0.666666666,0,,0,,1.5253859281539066,1.5253859281539066,,"Mariano Rivera",844,121250
"Brad Lidge","PHI",0,0,0,3,0,2,4.5,4.5,0,0.3333333333333333,1,0.5,0,,0,,3.5253862857818605,4.781643596291542,,"Brad Lidge",563,400058
"LaTroy Hawkins","MIL",0,0,0,4,0,4,6.750006839639918,9.000009119519891,0,0.2,1,0.222222222,0,,0,,4.525387805701842,5.781646389151916,,"LaTroy Hawkins",729,115629
"Iván Nova","NYY",1,1,0,2,1,8.1,8.640003295899694,4.320001647949847,2.1600008239749235,0.25,0.85365854,0.409090909,0.285714285,,4.320001647949847,,5.665387292862323,3.6006426460528798,,"Ivan Nova",1994,467100
"Michael Gonzalez","TEX",0,0,0,8,0,4.1,8.307689260450047,2.076922315112512,2.076922315112512,0.18181818181818182,0.76923077,0.25,0.142857142,,4.153844630225024,,4.87153945477076,3.900878543168854,,"Michael Gonzalez",1794,283166
"Cory Wade","NYY",0,0,0,1,0,2,9,4.5,0,0.3333333333333333,1,0.2,0,,0,,2.5253862857818605,3.1535149410367014,,"Cory Wade",7570,460677
"David Robertson","NYY",0,0,0,2,0,2,9,0,0,0,1,0.75,0,,0,,2.5253862857818605,3.1535149410367014,,"David Robertson",8241,502085
"Phil Hughes","NYY",0,0,0,2,0,2.1,15.42859244836051,0,0,0.4,1,0.2,0,,0,,-0.40318981385380814,0.6736036335977116,,"Phil Hughes",7450,461833
"Jake Westbrook","STL",1,0,0,2,0,2,0,4.5,0,0.2857142857142857,1,0.428571428,0,,0,,4.5253862857818605,7.037900906801224,,"Jake Westbrook",412,150414
"David Price","TBR",0,1,0,1,1,6.2,4.04999806881043,1.3499993562701433,1.3499993562701433,0.2727272727272727,0.75757576,0.652173913,0.2,,4.04999806881043,,4.525385570526464,3.5175790339683304,,"David Price",3184,456034
"Joel Peralta","TBR",0,0,0,3,0,2.1,0,7.714289918240094,0,0.125,1,0.25,0,,0,,5.596816258528559,8.82719396025531,,"Joel Peralta",2332,407908
"Darren Oliver","TEX",1,0,0,8,0,6.1,8.526317501332635,0,1.4210529168887724,0.2777777777777778,0.43478261,0.352941176,0.166666666,,5.68421166755509,,3.1832810543250574,2.320787806905249,,"Darren Oliver",206,119984
"Juan Cruz","TBR",0,0,0,2,0,2,9.000018239058264,9.000018239058264,0,0.25,1,0,0,,0,,4.02538831234389,4.02538831234389,,"Juan Cruz",273,407297
"Antonio Bastardo","PHI",0,0,0,2,0,1,9.000009655962813,9.000009655962813,0,0,1,0,0,,0,,4.025387358666618,5.2816460169956185,,"Antonio Bastardo",8844,455374
"Joe Paterson","ARI",0,0,0,1,0,0.1,27.000028163224034,0,0,0,1,0,0,,0,,-2.9746199727123686,-2.9746199727123686,,"Joe Paterson",2565,519110
"David Hernandez","ARI",0,0,0,4,0,5,9,0,1.8,0.09090909090909091,0,0.25,0.166666666,,3.6,,3.6253862857818606,2.5328950583934784,,"David Hernandez",4259,456696
