Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Ryan Vogelsong","SFG",3,0,0,4,4,24.2,7.662161174701849,3.6486481784294518,0,0.23880597014925373,0.88888889,0.43283582,0,,1.0945944535288354,,2.7295872771887932,4.0986316578664255,,"Ryan Vogelsong",1011,285064
"Doug Fister","DET",0,1,0,3,3,19.1,7.448277086763889,3.2586212254592017,0,0.2857142857142857,0.88,0.407407407,0,,1.3965519537682294,,2.8358313628524368,4.430655644389645,,"Doug Fister",9425,450729
"Justin Verlander","DET",3,1,0,4,4,28.1,9.211765739414634,1.9058825667754415,1.2705883778502944,0.1791044776119403,0.91463415,0.436619718,0.137931034,,2.223529661238015,,3.51798155431517,3.1854851587311592,,"Justin Verlander",8700,434378
"Aníbal Sánchez","DET",1,2,0,3,3,20.1,7.967214360348804,2.6557381201162684,0.44262302001937803,0.24074074074074073,0.86021505,0.518518518,0.076923076,,1.7704920800775121,,2.848550417243195,3.147923852459799,,"Anibal Sanchez",3284,434671
"Darren O'Day","BAL",0,0,0,5,0,7,6.428568801102447,1.2857137602204893,0,0.058823529411764705,1,0.6875,0,,0,,2.0944525037491357,3.143202563992377,,"Darren O'Day",3321,503285
"Hiroki Kuroda","NYY",0,1,0,2,2,16,7.875,0.5625,1.125,0.1951219512195122,0.78431373,0.558139534,0.2,,2.8125,,3.5319520950317385,2.8246087728068234,,"Hiroki Kuroda",3283,493133
"Phil Coke","DET",0,1,2,10,0,10.2,10.968752615154413,1.6875004023314482,0,0.24,0.875,0.458333333,0,,0.8437502011657241,,1.219451647996796,2.320639923870642,,"Phil Coke",5535,457435
"Jeremy Affeldt","SFG",0,0,0,10,0,10.1,8.709679294947811,2.6129037884843433,0,0.19230769230769232,1,0.576923076,0,,0,,2.3202583799252663,3.3148800255078044,,"Jeremy Affeldt",583,346793
"Sergio Romo","SFG",1,0,4,10,0,10.2,7.593752489426058,0.8437502766028954,0,0.14814814814814814,0.8,0.222222222,0,,0.8437502766028954,,1.6882016340269124,4.028226929473449,,"Sergio Romo",9817,489265
"Trevor Rosenthal","STL",0,0,0,7,0,8.2,15.57692936186508,2.076923914915344,0,0.15384615384615385,1,0.583333333,0,,0,,0.32522020847794675,1.002874643945622,,"Trevor Rosenthal",10745,572096
"Joe Saunders","BAL",1,0,0,2,2,11.1,7.147054814139639,3.970586007855355,0,0.3,0.85714286,0.517241379,0,,1.588234403142142,,2.8297463611747147,3.736606569299923,,"Joe Saunders",4366,434578
"Barry Zito","SFG",2,0,0,3,3,16,7.312495641412949,3.374997988344438,0.562499664724073,0.3125,0.9223301,0.448979591,0.0625,,1.687498994172219,,3.4069519087673346,4.062702202349837,,"Barry Zito",944,217096
"Tim Lincecum","SFG",1,1,0,6,1,17.2,10.188682911956683,2.5471707279891707,0,0.21428571428571427,0.64285714,0.476190476,0,,2.5471707279891707,,1.6793572461488657,2.8428770751840595,,"Tim Lincecum",5705,453311
"Max Scherzer","DET",1,0,0,3,3,17.1,13.5000024758857,2.076923457828569,0.5192308644571423,0.2972972972972973,0.75342466,0.289473684,0.047619047,,2.076923457828569,,1.5367595016603117,2.565601865728272,,"Max Scherzer",3137,453286
"Bronson Arroyo","CIN",1,0,0,1,1,7,5.142857142857143,1.2857142857142858,0,0.05555555555555555,1,0.5,0,,0,,2.380166380746024,3.638666967408998,,"Bronson Arroyo",978,276520
"David Robertson","NYY",1,0,0,6,0,6.1,9.94736892034475,0,1.4210527029063929,0.14285714285714285,1,0.533333333,0.2,,1.4210527029063929,,2.936557350264362,2.0430710036594704,,"David Robertson",8241,502085
"Brett Anderson","OAK",1,0,0,1,1,6,9,3,0,0.15384615384615385,1,0.846153846,0,,0,,2.094452095031739,2.339160542438428,,"Brett Anderson",8223,474463
"Phil Hughes","NYY",0,1,0,2,2,9.2,8.379307589265366,5.586205059510244,1.8620683531700815,0.2,1,0.24,0.153846153,,1.8620683531700815,,5.784106382944078,5.0689954695990584,,"Phil Hughes",7450,461833
"Miguel González","BAL",0,0,0,1,1,7,10.285714285714286,0,0,0.29411764705882354,0.8,0.529411764,0,,1.2857142857142858,,0.8087378093174529,1.857488298203264,,"Miguel Gonzalez",7024,456068
"Homer Bailey","CIN",0,0,0,1,1,7,12.857142857142858,1.2857142857142858,0,0.08333333333333333,0.66666667,0.272727272,0,,1.2857142857142858,,1.0944520950317385,2.3529526816947124,,"Homer Bailey",8362,456701
"Jason Motte","STL",1,0,3,6,0,8.1,2.1600008239749235,1.0800004119874618,1.0800004119874618,0.20689655172413793,0.90909091,0.333333333,0.058823529,,2.1600008239749235,,4.534452644348354,5.969684588103769,,"Jason Motte",5861,435400
"Rafael Soriano","NYY",0,0,0,3,0,4.1,4.153849201091767,0,0,0.18181818181818182,1,0.5,0,,0,,2.1713744947891236,2.8490291539629125,,"Rafael Soriano",1100,400089
"Tommy Milone","OAK",0,0,0,1,1,6,9,1.5,0,0.29411764705882354,0.85714286,0.176470588,0,,1.5,,2.094452095031739,4.296828121691943,,"Tommy Milone",7608,543548
"Javier López","SFG",0,0,0,5,0,3,12.000003814698479,6.000001907349239,0,0,1,0.6,0,,0,,2.4277852164373783,3.4066193172271166,,"Javier Lopez",1663,425657
"Cody Eppley","NYY",0,0,0,4,0,3.2,9.818194373596105,2.4545485933990263,0,0.3333333333333333,1,0.545454545,0,,0,,1.730813987587835,2.5316790214211,,"Cody Eppley",9095,543136
"Sean Marshall","CIN",0,0,0,3,0,4,6.75,0,0,0,1,0.444444444,0,,0,,1.5944520950317385,2.6956401083618404,,"Sean Marshall",5905,445156
"Ross Detwiler","WSN",0,0,0,1,1,6,3,4.5,0,0.15,0.83333333,0.611111111,0,,0,,3.9277854283650724,4.90661921799183,,"Ross Detwiler",2859,446321
"Octavio Dotel","DET",0,0,0,6,0,5,10.800017509488836,9.000014591240697,0,0,1,0.25,0,,0,,3.6944530677811183,5.456356745589167,,"Octavio Dotel",555,136734
"Brian Matusz","BAL",0,1,0,6,0,4.2,11.571439606813328,3.8571465356044428,1.9285732678022214,0.125,1,0.333333333,0.2,,1.9285732678022214,,4.594453525544577,3.3818638167433472,,"Brian Matusz",2646,451085
"CC Sabathia","NYY",2,1,0,3,3,21.1,8.015622611158308,2.1093743713574495,0.8437497485429798,0.3181818181818182,0.75396825,0.439393939,0.08,,3.374998994171919,,3.235077053122235,3.73693317438574,,"CC Sabathia",404,282332
"Andy Pettitte","NYY",0,1,0,2,2,13.2,6.5853643218798,2.6341457287519203,0,0.3111111111111111,0.72222222,0.466666666,0,,3.2926821609399,,2.509086377531312,4.120580656345924,,"Andy Pettitte",840,120485
"Jason Hammel","BAL",0,1,0,2,2,11.1,8.73528921728178,4.7647032094264254,0,0.2857142857142857,0.71428571,0.464285714,0,,3.176468806284284,,2.741511116555707,4.037025699591719,,"Jason Hammel",4538,434628
"Yu Darvish","TEX",0,1,0,1,1,6.2,9.449995493891004,0,0,0.2631578947368421,0.5,0.444444444,0,,2.6999987125402867,,1.4444528818126743,3.2063528630014573,,"Yu Darvish",13074,506433
"Clay Rapada","NYY",0,0,0,5,0,1.2,5.400005536085082,10.800011072170165,0,0,1,1,0,,0,,5.494454555513997,5.494454555513997,,"Clay Rapada",4831,449060
"J.J. Hoover","CIN",0,0,0,2,0,2.2,6.749991953382548,6.749991953382548,0,0,1,0.75,0,,0,,3.8444512009631326,4.395044551269763,,"J.J. Hoover",9037,543331
"Jerry Blevins","OAK",0,0,0,3,0,3.2,0,0,0,0.08333333333333333,1,0.583333333,0,,0,,3.0944520950317385,4.696180392153185,,"Jerry Blevins",7841,460283
"Kyle Lohse","STL",2,1,0,4,4,20.1,6.196719373884553,3.540982499362602,0.8852456248406505,0.30158730158730157,0.76335878,0.360655737,0.09090909,,3.983605311782927,,4.176418969836978,4.486329449541497,,"Kyle Lohse",739,346798
"Sam LeCure","CIN",1,0,0,3,0,4,11.249983906768932,4.499993562707573,0,0.2222222222222222,1,0.444444444,0,,0,,2.0944535255411667,2.828577817588011,,"Sam LeCure",4664,459967
"Drew Smyly","DET",1,0,0,4,0,4,9.000009119519891,6.750006839639918,0,0.2222222222222222,0.8,0.25,0,,2.250002279879973,,3.3444523483517354,5.1797675635882,,"Drew Smyly",11760,592767
"Ryan Mattheus","WSN",1,0,0,3,0,3,0,3,0,0.2727272727272727,0.5,0.545454545,0,,6,,4.094452095031739,4.583868989845118,,"Ryan Mattheus",7169,458919
"Joaquín Benoit","DET",0,0,0,6,0,5.1,8.43750201165724,1.6875004023314482,1.6875004023314482,0.3125,0.89285714,0.294117647,0.111111111,,3.3750008046628963,,4.219452363252704,4.259625402823432,,"Joaquin Benoit",1437,276542
"Wei-Yin Chen","BAL",1,0,0,1,1,6.1,4.263160034561174,1.4210533448537248,0,0.32,0.77777778,0.44,0,,1.4210533448537248,,2.6207676467471637,4.475401021153765,,"Wei-Yin Chen",13071,612672
"Pedro Strop","BAL",1,0,0,2,0,2.1,7.714286765273879,3.8571433826369397,0,0.16666666666666666,1,0.833333333,0,,0,,2.6658806080720785,3.295130987132126,,"Pedro Strop",4070,467008
"Matt Cain","SFG",2,2,0,5,5,30,5.999998092651974,2.0999993324281907,1.799999427795592,0.23863636363636365,0.87837838,0.369565217,0.153846153,,3.599998855591184,,5.461118009355573,4.769844118877801,,"Matt Cain",4732,430912
"Mitchell Boggs","STL",0,1,0,9,0,7.2,5.8695671644018965,4.695653731521517,1.1739134328803793,0.28,0.75471698,0.4,0.1,,2.3478268657607586,,5.050974483165704,5.270431970449697,,"Mitchell Boggs",3344,459939
"Evan Scribner","OAK",0,0,0,1,0,2,13.5,0,0,0,1,0.333333333,0,,0,,0.09445209503173846,1.5627027794718744,,"Evan Scribner",7525,519267
"Pat Neshek","OAK",0,0,0,1,0,0.2,13.500014081612017,0,0,0,1,1,0,,0,,0.09444896578462414,0.09444896578462414,,"Pat Neshek",4682,450212
"Fernando Salas","STL",0,0,0,5,0,5.2,7.941181370959287,0,1.5882362741918572,0.14285714285714285,0.625,0.266666666,0.111111111,,3.1764725483837144,,3.6238641864290244,3.6616741203422984,,"Fernando Salas",4971,477569
"Christian Garcia","WSN",0,0,0,2,0,2.2,13.499983906765095,13.499983906765095,0,0.4,0.83333333,0.8,0,,3.374995976691274,,4.594450306894527,4.594450306894527,,"Christian Garcia",4067,451600
"Al Alburquerque","DET",1,0,0,3,0,3.1,8.10000077247627,0,2.70000025749209,0,1,0.625,0.5,,2.70000025749209,,5.194452295303364,2.1754024180484133,,"Al Alburquerque",6324,456379
"Boone Logan","NYY",0,0,0,5,0,3.2,4.9090975060039295,0,0,0.2727272727272727,1,0.181818181,0,,0,,2.0035415381419766,3.204839167004249,,"Boone Logan",5525,457429
"Edward Mujica","STL",1,0,0,9,0,7.2,4.6956548997285505,1.1739137249321376,0,0.3333333333333333,0.8,0.518518518,0,,2.3478274498642753,,2.442277803402773,3.0168110134378665,,"Edward Mujica",3970,465629
"Rick Porcello","DET",0,0,0,2,0,1.1,6.750001609325793,0,0,0,1,0.333333333,0,,0,,1.5944517374037845,2.6956400132776306,,"Rick Porcello",2717,519144
"Santiago Casilla","SFG",1,0,0,11,0,7,10.285719190327395,1.2857148987909244,0,0.36363636363636365,0.8,0.454545454,0,,1.2857148987909244,,1.6658799852640451,3.1341313698209987,,"Santiago Casilla",2873,433586
"Koji Uehara","TEX",0,0,0,1,0,1,27,0,0,0,1,0,0,,0,,-2.9055479049682615,-2.9055479049682615,,"Koji Uehara",9227,493157
"Alfredo Simon","CIN",0,0,0,1,0,1,9,9,0,0.3333333333333333,1,0.666666666,0,,0,,4.0944520950317385,5.562702779471874,,"Alfredo Simon",2155,430580
"Eric O'Flaherty","ATL",0,0,0,1,0,1,0,0,0,0.5,1,1,0,,0,,3.0944520950317385,3.0944520950317385,,"Eric O'Flaherty",5746,447714
"Craig Kimbrel","ATL",0,0,0,1,0,1,9,0,0,0,1,0,0,,0,,1.0944520950317385,4.03095346391201,,"Craig Kimbrel",6655,518886
"Tyler Clippard","WSN",0,0,0,3,0,3,15,3,3,0,1,0.2,0.25,,3,,5.094452095031739,2.71878634095192,,"Tyler Clippard",5640,461325
"Jonathan Broxton","CIN",0,1,0,3,0,3,12,3,0,0.4,0.8,0.5,0,,0,,1.4277854283650722,2.4066192179918295,,"Jonathan Broxton",4759,455009
"Aroldis Chapman","CIN",0,0,0,3,0,3,9,6,0,0.25,0.75,0,0,,3,,3.094452095031739,6.030953463912011,,"Aroldis Chapman",10233,547973
"Tommy Hunter","BAL",0,0,0,2,0,1.1,6.750007040806008,0,0,0,1,0.25,0,,0,,1.5944505304081815,4.898018016287901,,"Tommy Hunter",1157,488984
"Johnny Cueto","CIN",0,0,0,1,1,0.1,27.000028163224034,0,0,0,1,0,0,,0,,-2.9055541634624906,-2.9055541634624906,,"Johnny Cueto",6893,456501
"A.J. Griffin","OAK",0,0,0,1,1,5,1.8,0,1.8,0.3157894736842105,0.89285714,0.157894736,0.1,,3.6,,5.294452095031739,5.630953463912011,,"A.J. Griffin",11132,456167
"Jaime García","STL",0,0,0,1,1,2,13.5,13.5,0,0.4,0.8,0.6,0,,4.5,,4.5944520950317385,5.328577437251806,,"Jaime Garcia",8137,448802
"Joe Kelly","STL",0,0,0,7,0,7.2,5.869565704143831,4.695652563315065,0,0.24,0.8,0.64,0,,2.3478262816575324,,3.3553216818825753,3.7383436313259324,,"Joe Kelly",9761,523260
"Marc Rzepczynski","STL",0,0,0,5,0,2,13.50001448394422,4.500004827981407,0,0.5,0.75,0.333333333,0,,4.500004827981407,,1.594450485704603,3.7968288752604753,,"Marc Rzepczynski",6612,519240
"Joba Chamberlain","NYY",0,0,0,4,0,2.1,3.8571433826369397,0,0,0.4,1,0.4,0,,0,,2.2373091211124185,4.125060258292561,,"Joba Chamberlain",2692,501955
"Jarrod Parker","OAK",0,2,0,2,2,12.2,7.8157933966954865,1.4210533448537248,0.7105266724268624,0.34210526315789475,0.64102564,0.368421052,0.071428571,,4.263160034561174,,3.0944520950317385,3.690939993020935,,"Jarrod Parker",4913,519105
"Gio González","WSN",0,0,0,2,2,10,9,9.9,0,0.25,0.70588235,0.375,0,,4.5,,4.394452095031738,5.862702779471874,,"Gio Gonzalez",7448,461829
"Jonny Venters","ATL",0,0,0,1,0,0.2,0,0,0,0.5,1,1,0,,0,,3.094452095031739,3.094452095031739,,"Jonny Venters",7175,458924
"Grant Balfour","OAK",0,1,1,2,0,1.2,10.800004119874618,5.400002059937309,0,0.6,0.75,0.2,0,,5.400002059937309,,2.494451866149815,3.3754026128699373,,"Grant Balfour",718,346797
"Michael Gonzalez","WSN",0,0,0,1,0,1,9,0,9,0,1,0,0.333333333,,9,,14.094452095031738,5.499204148352146,,"Michael Gonzalez",1794,283166
"Luis Ayala","BAL",0,0,0,1,0,0.1,27.000028163224034,0,0,1,1,1,0,,0,,-2.9055541634624906,-2.9055541634624906,,"Luis Ayala",1650,425646
"George Kontos","SFG",0,0,0,8,0,5.1,3.375002313406861,1.6875011567034306,1.6875011567034306,0.2777777777777778,0.53571429,0.5,0.166666666,,6.750004626813722,,5.34445363730298,4.558735118724691,,"George Kontos",9486,502004
"Derek Holland","TEX",0,0,0,1,0,0.1,27.000028163224034,0,0,1,1,0,0,,0,,-2.9055541634624906,-2.9055541634624906,,"Derek Holland",4141,502706
"Troy Patton","BAL",0,0,0,3,0,2,13.500027358587396,9.000018239058264,4.500009119529132,0.4,1,0.333333333,0.333333333,,4.500009119529132,,9.594465267684928,5.296832584943573,,"Troy Patton",8368,461856
"Chad Durbin","ATL",0,0,0,1,0,0,0,0,0,0,1,1,0,,0,,3.0944520950317385,3.0944520950317385,,"Chad Durbin",1442,239795
"Tom Gorzelanny","WSN",0,0,0,1,0,0.1,0,0,0,0.5,1,0.5,0,,0,,3.094452095031739,3.094452095031739,,"Tom Gorzelanny",6244,452733
"Derek Lowe","NYY",0,0,0,3,0,2,4.500002413989408,0,9.000004827978817,0.16666666666666666,0,0.5,1,,13.500007241968225,,15.094458532336827,3.5627030306612504,,"Derek Lowe",199,117955
"Shelby Miller","STL",0,0,0,2,0,3.1,10.80001029969244,2.70000257492311,0,0.4,0.6,0.2,0,,5.40000514984622,,1.5944506645188996,3.796828791530558,,"Shelby Miller",10197,571946
