Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Corey Kluber","CLE",4,1,0,6,6,34.1,9.174758640735018,2.097087689310861,0.786407883491573,0.2808988764044944,0.91954023,0.34065934,0.071428571,,1.8349517281470036,,3.2048128186572082,4.106421632861906,,"Corey Kluber",2429,446372
"Jon Lester","CHC",3,1,0,6,5,35.2,7.570092378407077,1.5140184756814155,0.7570092378407077,0.25,0.83892617,0.40860215,0.09375,,2.0186913009085536,,3.146560382843018,3.5474731452923702,,"Jon Lester",4930,452657
"Andrew Miller","CLE",2,0,1,10,0,19.1,13.965519537682292,2.3275865896137153,0.9310346358454862,0.2777777777777778,0.98591549,0.342105263,0.142857142,,1.3965519537682294,,2.1638016005616714,2.025098670316283,,"Andrew Miller",6785,453192
"Cody Allen","CLE",0,0,6,10,0,13.2,15.804874372511522,3.2926821609399,0,0.32,1,0.4,0,,0,,0.9514389422164182,1.9264245184772462,,"Cody Allen",12183,592102
"Kyle Hendricks","CHC",1,1,0,5,5,25.1,6.75000084701348,2.4868424173207555,0.35526320247439364,0.25,0.859375,0.471428571,0.055555555,,1.4210528098975745,,3.107086693679196,3.777382045303102,,"Kyle Hendricks",12049,543294
"Marco Estrada","TOR",1,2,0,3,3,22.1,7.656717507763409,0.4029851319875478,1.2089553959626433,0.21052631578947367,0.84745763,0.315789473,0.09375,,2.014925659937739,,3.325664885948594,3.9659287337927105,,"Marco Estrada",1118,462136
"Roberto Osuna","TOR",1,0,1,7,0,9,10,0,0,0.19047619047619047,1,0.428571428,0,,0,,0.9243381606207954,2.5899389074908363,,"Roberto Osuna",13764,532077
"Noah Syndergaard","NYM",0,0,0,1,1,7,12.857142857142858,3.857142857142857,0,0.16666666666666666,1,0.583333333,0,,0,,1.5751318114144464,2.7648466306073325,,"Noah Syndergaard",11762,592789
"Johnny Cueto","SFG",0,1,0,1,1,8,11.25,0,1.125,0.125,1,0.411764705,0.142857142,,1.125,,2.2715603828430178,2.1039610363543035,,"Johnny Cueto",6893,456501
"Madison Bumgarner","SFG",1,0,0,2,2,14,6.428571428571429,1.9285714285714286,0.6428571428571429,0.24390243902439024,0.88235294,0.357142857,0.058823529,,1.9285714285714286,,3.503703239985875,4.597647004042353,,"Madison Bumgarner",5524,518516
