Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Jon Lester","BOS",4,1,0,5,5,34.2,7.528845049220592,2.0769227721987837,0.7788460395745439,0.2391304347826087,0.94155844,0.473118279,0.09375,,1.5576920791490878,,3.3651620215918254,3.501226620454459,,"Jon Lester",4930,452657
"Justin Verlander","DET",1,1,0,3,3,23,12.130434782608695,1.173913043478261,0.391304347826087,0.19148936170212766,1,0.276595744,0.041666666,,0.391304347826087,,1.308723941056625,2.169057857990265,,"Justin Verlander",8700,434378
"Michael Wacha","STL",4,1,0,5,5,30.2,9.684781604768753,3.5217387653704555,0.8804346913426139,0.18571428571428572,0.80645161,0.369863013,0.078947368,,2.6413040740278415,,3.4391586831026175,3.8602616875488023,,"Michael Wacha",14078,608379
"John Lackey","BOS",3,1,0,5,4,26,8.653846153846153,2.076923076923077,0,0.32051282051282054,0.75,0.474358974,0,,2.769230769230769,,1.9324697604546182,3.0359013019272916,,"John Lackey",1507,407793
"Max Scherzer","DET",2,1,0,4,3,22.1,13.701494487576625,4.432836451863026,0.4029851319875478,0.2682926829268293,0.76271186,0.425,0.058823529,,2.8208959239128344,,2.331436363416927,2.7892546403755385,,"Max Scherzer",3137,453286
"Koji Uehara","BOS",1,1,7,13,0,13.2,10.536591002803734,0,0.6585369376752334,0.20689655172413793,1,0.310344827,0.071428571,,0.6585369376752334,,1.657609729635963,2.1058646074122995,,"Koji Uehara",9227,493157
"Trevor Rosenthal","STL",1,0,4,10,0,11.2,13.885710502158437,2.314285083693073,0,0.21052631578947367,1,0.526315789,0,,0,,0.7335692921461607,1.553261071034719,,"Trevor Rosenthal",10745,572096
"Brandon Workman","BOS",0,1,0,7,0,8.2,4.153846458570514,3.1153848439278855,0,0.25,0.9,0.461538461,0,,0,,3.1632389996884145,4.73956988885975,,"Brandon Workman",11428,519443
"Adam Wainwright","STL",2,3,0,5,5,35,8.742857142857142,0.7714285714285715,0.2571428571428571,0.30927835051546393,0.67484663,0.530612244,0.045454545,,2.5714285714285716,,1.7335686615535193,2.2208650448492597,,"Adam Wainwright",2233,425794
"Carlos Martinez","STL",0,1,0,12,0,12.2,7.815788689082428,2.1315787333861165,0,0.21875,0.54545455,0.59375,0,,3.5526312223101946,,2.2583807708814128,3.229068570822935,,"Carlos Martinez",11682,593372
"Dan Otero","OAK",0,0,0,4,0,5.2,3.1764725483837144,1.5882362741918572,0,0.2222222222222222,1,0.666666666,0,,0,,2.871383678706805,3.3535557422688447,,"Dan Otero",7385,519096
"Felix Doubront","BOS",1,0,0,4,0,7,5.142857142857143,3.857142857142857,0,0.15789473684210525,0.85714286,0.277777777,0,,1.2857142857142858,,3.6192829472678048,5.570930571641242,,"Felix Doubront",1478,467094
"Junichi Tazawa","BOS",1,0,0,13,0,7.1,7.36364386496244,1.22727397749374,0,0.3157894736842105,0.85714286,0.526315789,0,,1.22727397749374,,1.8205803983454936,2.5657557049418034,,"Junichi Tazawa",4079,547749
