Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"Hunter Wood","- - -",1.254069946706295,-1.5391259789466858,2.793195962905884,0.21880006790161133,-0.04017651826143265,0.6297784181786519,0.6427852869033813,0.6836111115084754,0.7425333460172018,27,0.005278240889310837,1.9860093461530062,7,1,"Hunter Wood",15091,621056
"Adrian Sampson","TEX",0.2257080078125,-9.005068302154541,9.230775833129883,-13.461199283599854,-1.3692415356636047,0.8447231826574906,0.8199750640813042,0.872817167213985,0.839186692237854,30,-1.5917279720306396,1.8589255729091012,6,2,"Adrian Sampson",13339,592716
"Dan Straily","BAL",-0.9666639119386673,-4.136196076869965,3.1695318818092346,-28.00349998474121,-2.657067894935608,0.7453430602906651,0.7477800152518532,0.683400000844683,0.898466686407725,12,-2.943175792694092,1.6462375592292324,1,1,"Dan Straily",9460,573185
"Jon Lester","CHC",-0.24571216106414795,-13.570697784423828,13.32498550415039,-11.04580020904541,-1.1221281290054321,0.9393392205238342,0.8502910733222961,0.8729032278060913,0.9255096912384033,31,-1.9001339673995972,1.6385541720546062,0,0,"Jon Lester",4930,452657
"Dan Otero","CLE",0.3181740343570709,-0.6329160332679749,0.9510900378227234,-3.1409997940063477,-0.31021779775619507,0.3335612714290619,0.38032034039497375,0.4216560125350952,0.4596666693687439,21,-0.6438463926315308,1.597716225882651,4,1,"Dan Otero",7385,519096
"Luis Cessa","NYY",0.7648940086364746,-3.844265937805176,4.60915994644165,6.679999828338623,0.6041049361228943,0.696593165397644,0.6311248540878296,0.8210883736610413,0.9824896454811096,29,-0.4668802320957184,1.5649300646688555,12,6,"Luis Cessa",13345,570666
"Dakota Hudson","STL",1.7405821979045868,-12.582418277859688,14.323000252246857,8.599300980567932,0.8154154680669308,1.0582971517069286,0.9428334684003123,1.0712060928344727,1.0101749897003174,32,0.09906935691833496,1.54563146751193,1,0,"Dakota Hudson",19206,641712
"Jordan Lyles","- - -",0.7892659902572632,-9.755959749221802,10.545226097106934,3.3346996307373047,0.3292033076286316,0.9407052312301114,0.9151947845334876,0.8648857367890221,1.1796785635607583,28,-0.5979626774787903,1.4369778801743052,0,0,"Jordan Lyles",7593,543475
"Michael Wacha","STL",-0.7334380149841309,-9.465263605117798,8.731825709342957,-10.632000923156738,-1.1196371912956238,0.8626413694242152,0.8138285897560974,0.8945310198027512,0.866462060089769,29,-2.2110623121261597,1.3608387534372497,1,2,"Michael Wacha",14078,608379
"Dallas Keuchel","ATL",1.337096095085144,-8.195602416992188,9.532697677612305,11.942000389099121,1.1457080841064453,1.0379047393798828,0.9260795712471008,0.8725473880767822,1.0664105415344238,19,-0.05969419702887535,1.3479589523126976,0,0,"Dallas Keuchel",9434,572971
