Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,inLI,gmLI,exLI,Pulls,WPA/LI,Clutch,SD,MD,NameASCII,PlayerId,MLBAMID
"JP Sears","OAK",-0.45361167192459106,-12.773185729980469,12.319574356079102,-2.4180002212524414,-0.3339650332927704,0.9156760573387146,0.896172046661377,0.8760499954223633,1.0193687677383423,32,-2.0166115760803223,1.5212271349462487,0,0,"JP Sears",23429,676664
"Julio Urías","LAD",-0.14762364327907562,-8.592233657836914,8.444610595703125,-2.3921005725860596,-0.1743241846561432,0.9255908131599426,0.9173865914344788,0.8806095123291016,0.6547714471817017,21,-1.5793572664260864,1.4198660083234995,0,0,"Julio Urias",14765,628711
"Ryan Brasier","- - -",2.3067801147699356,-1.826903760433197,4.133683860301971,14.249999523162842,1.4918583929538727,0.799916035413742,0.7884228270787459,0.9578745910676859,0.8995090885595842,44,1.4825594201683998,1.4012183923076256,16,3,"Ryan Brasier",5615,518489
"Braxton Garrett","MIA",2.279012069106102,-10.308591917157173,12.587604701519012,17.199501156806946,1.6597339995205402,0.9664887586938514,0.9562643010701452,0.8639548459360676,1.2673066854476929,30,0.9605521708726883,1.3974805000774042,0,0,"Braxton Garrett",21844,666129
"Michael Kopech","CHW",-0.8884977251291275,-10.46315810084343,9.574659947305918,-15.798400402069092,-1.457751840353012,0.922589638156577,0.8482147297438454,0.8198533296585083,1.0118785633572511,28,-2.3429276943206787,1.3798801069833315,0,1,"Michael Kopech",17282,656629
"Tanner Banks","CHW",0.4346000850200653,-3.4279738664627075,3.862573981285095,2.977799654006958,0.29017341136932373,0.8103097650341522,0.7221468389034271,0.9606187418103218,0.8086695360100787,23,-0.8341588973999023,1.3704971025821493,8,4,"Tanner Banks",16990,621383
"Ken Waldichuk","OAK",-0.8476937040686607,-12.901654481887817,12.053961038589478,-17.753201007843018,-1.8347015380859375,1.0908175577209795,0.9467812969984598,0.9333657366888863,1.0532181859016418,33,-2.0639613568782806,1.2868435904208648,5,5,"Ken Waldichuk",27681,686610
"Cody Bolton","PIT",0.18887200951576233,-0.48332804441452026,0.672200083732605,-5.11899995803833,-0.5562896728515625,0.3410568833351135,0.2988467812538147,0.40747499465942383,0.832872748374939,11,-0.73063725233078,1.2844217344641655,1,0,"Cody Bolton",23265,675989
"Trevor May","OAK",1.999701976776123,-4.278216361999512,6.277918338775635,7.315000057220459,0.7536320090293884,1.6137290000915527,1.569994330406189,1.7086327075958252,1.784600019454956,14,-0.015354248695075512,1.2545350384451963,20,7,"Trevor May",6398,543507
"Tyler Alexander","DET",0.4128361642360687,-1.0658459886908531,1.4786821603775024,-0.6429998278617859,-0.03571093827486038,0.40182088757609274,0.43010013845731626,0.49622400760650637,0.9545646940960604,17,-0.21812056750059128,1.2455339673525092,4,2,"Tyler Alexander",17735,641302
"Alex Cobb","SFG",0.7682963013648987,-10.74472427368164,11.513020515441895,6.814799785614014,0.7530180811882019,0.9547117948532104,0.8949477672576904,0.880057156085968,1.269492268562317,26,-0.4120904207229614,1.2168320249502627,0,0,"Alex Cobb",6562,502171
"Eury Pérez","MIA",1.4792699813842773,-5.797053813934326,7.276324272155762,14.477100372314453,1.4732329845428467,0.9624742865562439,0.9884830117225647,0.8799999952316284,1.0859789848327637,19,0.35985463857650757,1.1770902980795572,0,0,"Eury Perez",27768,691587
"Blake Snell","SDP",3.9717702865600586,-10.594085693359375,14.565855979919434,43.05379867553711,4.399631023406982,1.026415467262268,0.9024242162704468,0.8730437755584717,1.0585500001907349,32,2.717722177505493,1.1518320266549922,0,0,"Blake Snell",13543,605483
"Gabe Speier","SEA",1.3589078187942505,-3.462975025177002,4.821882724761963,7.8989996910095215,0.8035926222801208,1.0901527404785156,0.9032111167907715,1.148727536201477,1.1869410276412964,61,0.11854143440723419,1.127988311688498,16,8,"Gabe Speier",17170,642100
"Adam Wainwright","STL",-2.7505457401275635,-10.59838581085205,7.847840309143066,-34.4911003112793,-3.4049363136291504,1.013771414756775,0.9089277982711792,0.8786476254463196,0.9684380888938904,21,-3.826310396194458,1.1131290023518656,0,0,"Adam Wainwright",2233,425794
"Kyle Freeland","COL",-0.15979443490505219,-12.647419929504395,12.487625122070312,0.16839870810508728,-0.05685604363679886,0.9663317203521729,0.9266822338104248,0.8731034398078918,0.8548482656478882,29,-1.2729076147079468,1.107545729612406,0,0,"Kyle Freeland",16256,607536
"Framber Valdez","HOU",2.1279823780059814,-12.554545402526855,14.682527542114258,16.354598999023438,1.601765513420105,0.9972150325775146,0.9238796234130859,0.8754838705062866,0.9263103604316711,29,1.0388970375061035,1.0950282529157205,0,0,"Framber Valdez",17295,664285
"Erik Swanson","TOR",3.297410249710083,-5.288464069366455,8.585874557495117,15.430000305175781,1.5759143829345703,1.5723398923873901,1.2747435569763184,1.4639825820922852,1.4832535982131958,56,1.041591763496399,1.0555440184517408,32,8,"Erik Swanson",16587,657024
"Colten Brewer","NYY",0.3398440182209015,-0.10396796464920044,0.4438120126724243,1.5320000648498535,0.1585921347141266,0.4440000057220459,0.4885866940021515,0.6069333553314209,0.7594000101089478,2,-0.28246137499809265,1.047875820586302,1,0,"Colten Brewer",12997,605155
"Mitch Keller","PIT",2.152334213256836,-13.327914237976074,15.48024845123291,7.067598819732666,0.6279180645942688,0.9974440932273865,0.9640416502952576,0.8780312538146973,1.0500065088272095,31,1.137113094329834,1.0207363810153174,0,0,"Mitch Keller",17594,656605
"Lucas Sims","CIN",3.1974377632141113,-5.891213893890381,9.088651657104492,18.72599983215332,1.873645305633545,1.784470796585083,1.4026015996932983,1.7818328142166138,1.6977580785751343,62,0.7879897356033325,1.0038231477080692,36,12,"Lucas Sims",13470,608371
"Yusei Kikuchi","TOR",0.9048364162445068,-11.686505317687988,12.591341972351074,9.231999397277832,0.9706931114196777,0.963456392288208,0.9046977162361145,0.8720124959945679,1.1053187847137451,32,-0.05006604641675949,0.9892226325239118,0,0,"Yusei Kikuchi",20633,579328
"Héctor Neris","HOU",3.817512273788452,-4.573999404907227,8.391511917114258,21.232999801635742,2.135690212249756,1.4977573156356812,1.276883602142334,1.3928704261779785,1.3318812847137451,64,1.567967414855957,0.9808515653192229,33,4,"Hector Neris",11804,593576
"Andrew Nardi","MIA",2.3571102619171143,-3.9706759452819824,6.327785968780518,17.268999099731445,1.6922420263290405,1.3665815591812134,1.2544796466827393,1.5232857465744019,1.5957471132278442,53,0.750252366065979,0.9745698709100385,25,9,"Andrew Nardi",25942,677053
"Dean Kremer","BAL",0.6904386878013611,-12.319015502929688,13.009454727172852,1.0698994398117065,0.1163419559597969,0.9810654520988464,0.9657804369926453,0.872487485408783,1.555649995803833,32,-0.252681702375412,0.9564458460666083,0,0,"Dean Kremer",19350,665152
"Jesús Luzardo","MIA",1.665484070777893,-11.774970054626465,13.44045352935791,15.418099403381348,1.4863253831863403,0.96456378698349,0.9460947513580322,0.8747749924659729,1.4116874933242798,32,0.7726680636405945,0.9540026793969527,0,0,"Jesus Luzardo",19959,666200
"Kodai Senga","NYM",2.5160703659057617,-10.13333797454834,12.649408340454102,23.518600463867188,2.4595746994018555,0.9903853535652161,0.8968905806541443,0.8731103539466858,0.9831172227859497,29,1.6046380996704102,0.9358582403131561,0,0,"Kodai Senga",31838,673540
"Casey Lawrence","STL",0.35373803973197937,-1.0896679162979126,1.4434059858322144,-5.068000316619873,-0.5107197165489197,0.6479779481887817,0.5845106840133667,0.9433466792106628,1.1797749996185303,8,-0.3893834948539734,0.9352941091283367,3,3,"Casey Lawrence",11121,596271
"Keegan Akin","BAL",-0.22440140694379807,-1.4824517965316772,1.2580504566431046,-7.509899914264679,-0.7668624296784401,0.6718896442446215,0.655598470658967,0.8157333433628082,1.0536000062437618,17,-1.2476472333073616,0.9136617211536753,3,4,"Keegan Akin",19362,669211
"J.P. France","HOU",0.6997944414615631,-9.478716164827347,10.178510308265686,6.564200162887573,0.7169484347105026,0.9537576872110367,0.9018799020693853,0.9771666551629702,1.0275582820177078,24,-0.17624201253056526,0.909965526212422,1,0,"J.P. France",21212,641585
"Wade Miley","MIL",1.9849183559417725,-7.812987804412842,9.797905921936035,20.007400512695312,1.9973605871200562,1.0256834030151367,0.9713806509971619,0.8712434768676758,1.10536527633667,23,1.0264736413955688,0.9087417965327755,0,0,"Wade Miley",8779,489119
"Alexis Díaz","CIN",4.3686299324035645,-8.570981979370117,12.93961238861084,7.73199987411499,0.7380242943763733,2.372539520263672,2.0012142658233643,2.1047492027282715,2.1785199642181396,20,0.9329549670219421,0.908375765339497,39,11,"Alexis Diaz",21132,664747
"Jhony Brito","NYY",0.46222591400146484,-5.8905781507492065,6.352804183959961,0.016098976135253906,-0.03622722625732422,0.9012685559012673,0.8850082604572026,0.9228000116348266,1.1129999905824661,24,-0.394889235496521,0.9077507027860788,8,0,"Jhony Brito",25386,666745
"Drey Jameson","ARI",0.7617841735482216,-1.7722838521003723,2.5340681076049805,7.942400246858597,0.7940040454268456,0.7786749936640263,0.8138450112031854,0.8848799943923951,0.8060500100255013,12,0.11960963904857635,0.8586986150327246,6,1,"Drey Jameson",26260,686753
"Greg Weissert","NYY",0.41784796118736267,-0.5481818914413452,0.9660298228263855,2.4079999923706055,0.22379843890666962,0.4973541796207428,0.6083329916000366,0.901694118976593,0.9392363429069519,11,-0.008109020069241524,0.8482506702429516,4,0,"Greg Weissert",20375,669711
"Fernando Cruz","CIN",0.9798263534903526,-3.494442790746689,4.474268972873688,1.1728996634483337,0.1000368781387806,0.866541569380416,0.8837134845649139,1.0575793406059002,1.0582697557848553,43,0.28870661929249763,0.8420254634060116,16,7,"Fernando Cruz",7048,518585
"José Urquidy","HOU",-0.06249569356441498,-4.417358040809631,4.35486227273941,-4.105999708175659,-0.4829680919647217,0.9128393047842486,0.8459264785051346,0.7348625212907791,1.4667833546797435,12,-0.9005058109760284,0.8320428370036423,1,1,"Jose Urquidy",18413,664353
"Anthony Misiewicz","- - -",0.27946798130869865,-0.7682950794696808,1.04776305553969,-3.6940001249313354,-0.3684849143028259,1.029386194872445,0.7232200086116791,0.9125272983854468,1.030149981379509,8,-0.5516307577490807,0.8231206832024995,3,2,"Anthony Misiewicz",18152,664948
"Julio Teheran","MIL",0.6625080704689026,-3.7468278110027313,4.409335911273956,2.529199719429016,0.22978238761425018,0.7885075625826101,0.8208109679287428,0.7960714272090367,0.7952154003656827,13,0.03464832901954651,0.805556764637362,1,0,"Julio Teheran",6797,527054
"Mike Clevinger","CHW",1.771786093711853,-8.676397323608398,10.4481840133667,10.80780029296875,1.0674529075622559,0.9574160575866699,0.8969790935516357,0.8700000047683716,0.8176273107528687,22,1.0490942001342773,0.8014973788057516,0,0,"Mike Clevinger",12808,605182
"Luis F. Ortiz","PHI",0.22498805820941925,-0.2552679777145386,0.480256050825119,2.5789999961853027,0.24627572298049927,0.26878291368484497,0.230158731341362,0.2119857221841812,0.44235000014305115,4,0.04965392127633095,0.787408431850861,1,0,"Luis F. Ortiz",16942,656814
"Dane Dunning","TEX",2.17983615398407,-9.516164064407349,11.69599997997284,19.78999835252762,1.9316512262448668,0.8799382986170674,0.8128579861443975,0.8290628603526524,1.2345575672207456,33,1.691331148147583,0.7859290840868289,4,1,"Dane Dunning",19409,641540
"Daniel Duarte","CIN",0.6951655149459839,-1.8242019414901733,2.5193674564361572,0.895000159740448,0.11879274249076843,0.9242253303527832,0.8539611101150513,0.9620000123977661,1.4506261348724365,23,-0.033534687012434006,0.7856948930961976,7,4,"Daniel Duarte",17480,650960
"James McArthur","KCR",1.1367059648036957,-0.6977660953998566,1.8344720005989075,3.088700532913208,0.3198530226945877,0.8664066136538328,0.9256720209121704,1.1542889409595065,0.84579998254776,12,0.5306473076343536,0.7813301714039809,7,0,"James McArthur",21527,663704
"Jay Jackson","TOR",0.5633200407028198,-1.2055144309997559,1.7688344717025757,8.432999610900879,0.8452086448669434,0.773869514465332,0.690127432346344,0.711184024810791,1.0757733583450317,15,-0.05226488411426544,0.7801912724434643,5,1,"Jay Jackson",7432,543351
"Aaron Loup","LAA",-0.11604367196559906,-4.454291820526123,4.338248252868652,-10.280000686645508,-1.0495508909225464,1.0580811500549316,0.9044455289840698,0.9617927074432373,1.0903706550598145,34,-0.8878841400146484,0.778210442529749,7,13,"Aaron Loup",10343,571901
"Juan Then","SEA",0.07717999815940857,-0.1644599884748459,0.24163998663425446,1.0509998798370361,0.09943274408578873,0.2388269156217575,0.2462744414806366,0.3953777849674225,0.18831999599933624,5,-0.44131892919540405,0.7644818271396312,0,0,"Juan Then",22828,672730
"Félix Bautista","BAL",4.449517726898193,-6.466452121734619,10.915969848632812,22.111000061035156,2.3225066661834717,2.1390743255615234,2.059486150741577,2.0311713218688965,2.039560079574585,10,1.3168410062789917,0.7632726549095512,35,5,"Felix Bautista",20666,642585
"Randy Vásquez","NYY",0.529867872595787,-1.6031038463115692,2.13297176361084,3.757900357246399,0.38380369544029236,0.6892958997982984,0.7188547934804644,0.707509084181352,0.8295799940824509,10,0.006604254245758057,0.7621046162855143,2,0,"Randy Vasquez",24719,681190
"Albert Abreu","NYY",0.16837221384048462,-1.8480114936828613,2.016383647918701,-7.323000907897949,-0.7150663733482361,0.3658445179462433,0.49625787138938904,0.6187288761138916,0.7007846236228943,26,-0.2855822443962097,0.7458111273809345,6,5,"Albert Abreu",17485,656061
"Seth Martinez","HOU",0.2840558588504791,-3.2166354656219482,3.5006914138793945,1.9960002899169922,0.21270045638084412,0.951032817363739,0.9497094750404358,0.8618514537811279,0.7340642809867859,28,-0.4454807937145233,0.7441622415723179,7,5,"Seth Martinez",21045,661527
"Gavin Hollowell","COL",0.41934800148010254,-2.0140249729156494,2.433372974395752,0.25700023770332336,-0.03039434179663658,0.8222331404685974,0.6985633373260498,0.8148000240325928,0.6912947297096252,19,-0.23163381218910217,0.7416448794164736,8,5,"Gavin Hollowell",25427,668970
