Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Justin Verlander","DET",24,5,0,34,34,251,8.964142881346751,2.0438245769470593,0.8605577166092881,0.23622047244094488,0.80339321,0.402457757,0.08759124,95.60287388392857,2.4023902922009293,,2.9935137777592944,3.1218584037404464,6.489677429199219,"Justin Verlander",8700,434378
"James Shields","TBR",16,12,0,33,33,249.1,8.121658416720175,2.3462568759413838,0.9385027503765535,0.25840978593272174,0.79615048,0.462349397,0.110638297,91.75655614602587,2.8155082511296605,,3.4184344461959726,3.2468587689729476,4.832735061645508,"James Shields",7059,448306
"Dan Haren","LAA",16,10,0,35,34,238.1,7.250349340890766,1.2461537929656004,0.7552447230094548,0.2716927453769559,0.71493213,0.42510699,0.075187969,90.71940898119918,3.17202783663971,,2.9834282456146686,3.294607720146532,5.909197878092527,"Dan Haren",1757,429717
"CC Sabathia","NYY",19,8,0,33,33,237.1,8.721909738523088,2.3132021480430796,0.6446628937169239,0.31791044776119404,0.76951131,0.466467958,0.083743842,94.50598607711139,2.9957863884492344,,2.8779143819904074,3.0212580585717195,5.7579569816589355,"CC Sabathia",404,282332
"Chris Carpenter","STL",11,9,0,34,34,237.1,7.242977683313299,2.085674202001212,0.6067415860367161,0.3118131868131868,0.73153409,0.466206896,0.07511737,93.76119140625,3.4508427705838227,,3.0633076349091555,3.3143587939631205,4.4829864501953125,"Chris Carpenter",1292,112020
"Jered Weaver","LAA",18,8,0,33,33,235.2,7.561526928544586,2.138613676760085,0.7637905988428875,0.24961479198767333,0.82629108,0.324695121,0.062695924,90.00942609724613,2.4059403863550957,,3.1993608110738516,3.7965860016057222,5.431032180786133,"Jered Weaver",4235,450308
"Roy Halladay","PHI",19,6,0,32,32,233.2,8.47360894536803,1.348074150399459,0.38516404297127405,0.29819277108433734,0.78111588,0.509259259,0.05050505,92.30570220947266,2.349500662124772,,2.1994233936323506,2.7075786499646144,8.734569549560547,"Roy Halladay",1303,136880
"Félix Hernández","SEA",14,14,0,33,33,233.2,8.550641753962283,2.5805990879075362,0.7318116816454207,0.3066255778120185,0.72720422,0.501533742,0.095,93.79541706885458,3.4664763867414665,,3.1323762977183254,3.1505708569596695,5.26462984085083,"Felix Hernandez",4772,433587
"Clayton Kershaw","LAD",21,5,0,33,33,233.1,9.565713868682257,2.0828570520517817,0.5785714033477172,0.2685810810810811,0.78571429,0.432246998,0.066666666,94.13510009982254,2.2757141865010206,,2.4682434529285033,2.843920128827493,7.330873966217041,"Clayton Kershaw",2036,477132
"Cliff Lee","PHI",17,8,0,32,32,232.2,9.206304127441411,1.6246419048426022,0.6962751020754009,0.2905844155844156,0.81437671,0.462903225,0.089552238,92.0921118951613,2.398280907148603,,2.6041828289708153,2.6837289044219497,7.0871663093566895,"Cliff Lee",1636,424324
"Ervin Santana","LAA",11,12,0,33,33,228.2,7.005830280463636,2.8338189898504593,1.023323524112666,0.2721804511278195,0.76616121,0.435103244,0.101167315,93.38991002570694,3.3848393489880486,,3.9962316804528513,3.930013590721942,2.467454671859741,"Ervin Santana",3200,429722
"Ricky Romero","TOR",15,11,0,32,32,225,7.120000482855936,3.2000002170139035,1.0400000705295187,0.24232633279483037,0.79195205,0.546603475,0.131979695,92.82577353282976,2.920000198025187,,4.198719698686959,3.7964205166061094,2.544344902038574,"Ricky Romero",3403,460069
