Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"Jackie Bradley Jr.","BOS",0.7575721144676208,-0.7742300033569336,1.5318019390106201,5.039999961853027,0.5452262759208679,0.9811333417892456,1.392799973487854,1,0.09820780903100967,0.6739320033680605,"Jackie Bradley Jr.",12984,598265
"Rafael Devers","BOS",0.5102301836013794,-0.4180139899253845,0.9282439947128296,2.986999988555908,0.3101731836795807,0.9330476522445679,2.1277999877929688,2,-0.0009371216874569654,0.5477796997422371,"Rafael Devers",17350,646240
"Mike Moustakas","MIL",0.029495982453227043,-0.7220579981803894,0.7515539526939392,-2.1519999504089355,-0.2605437636375427,0.9460715651512146,,0,-0.2944589853286743,0.3256363122241429,"Mike Moustakas",4892,519058
"Austin Barnes","LAD",-0.27814391255378723,-0.6500521302223206,0.3719080090522766,-3.7880001068115234,-0.3889843821525574,1.1320878267288208,,0,-0.5459688901901245,0.3002777821446587,"Austin Barnes",12158,605131
"Justin Turner","LAD",0.48569798469543457,-1.1612941026687622,1.6469919681549072,4.425000190734863,0.47676321864128113,1.0258450508117676,,0,0.18178698420524597,0.29167436779045164,"Justin Turner",5235,457759
"Carlos Correa","HOU",0.2441060096025467,-0.4313580095767975,0.6754639744758606,2.1610000133514404,0.1969309151172638,0.9497657418251038,,0,-0.006255697458982468,0.2632727689880775,"Carlos Correa",14162,621043
"Cody Bellinger","LAD",-0.37870392203330994,-1.45387601852417,1.075171947479248,-4.942999839782715,-0.5252074003219604,1.3692806959152222,1.4233332872390747,3,-0.5190025568008423,0.24243112541862621,"Cody Bellinger",15998,641355
"Yasiel Puig","LAD",0.4622358977794647,-1.090317964553833,1.5525540113449097,4.412999629974365,0.48516419529914856,1.1633070707321167,2.270066738128662,3,0.1952686309814453,0.2020777871818697,"Yasiel Puig",14225,624577
"Ronald Acuña Jr.","ATL",0.1183519959449768,-0.2365759015083313,0.3549281060695648,2.2139999866485596,0.22909128665924072,0.7547052502632141,,0,-0.03661399707198143,0.1934328291971056,"Ronald Acuna Jr.",18401,660670
"Brock Holt","BOS",0.1957661211490631,-0.5050579905509949,0.700823962688446,4.451000213623047,0.44761019945144653,1.1313332319259644,1.0336999893188477,2,-0.02027999237179756,0.19332018568053108,"Brock Holt",9345,571788
"Freddie Freeman","ATL",0.0708320289850235,-0.16963809728622437,0.24046999216079712,-0.7089999318122864,-0.0859370008111,0.5647882223129272,,0,-0.0666612982749939,0.19207472969350214,"Freddie Freeman",5361,518692
