Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"Eric Hosmer","KCR",0.8359019160270691,-1.1454678773880005,1.981369972229004,2.9589998722076416,0.3158058226108551,1.1905176639556885,,0,-0.08717649430036545,0.7893096430431141,"Eric Hosmer",3516,543333
"Curtis Granderson","NYM",0.8834819197654724,-0.6826140284538269,1.5660959482192993,6.521299839019775,0.7641990184783936,0.8581124544143677,,0,0.5175457000732422,0.5120185664988104,"Curtis Granderson",4747,434158
"José Bautista","TOR",0.9061340093612671,-0.6031339168548584,1.509268045425415,8.59999942779541,0.8872213363647461,0.9476245045661926,,0,0.5587236881256104,0.3974926243430934,"Jose Bautista",1887,430832
"Alex Gordon","KCR",0.5836559534072876,-1.051129937171936,1.6347860097885132,2.239000082015991,0.22564466297626495,1.1165817975997925,,0,0.12812595069408417,0.39459075009928013,"Alex Gordon",5209,460086
"Mike Moustakas","KCR",0.047051917761564255,-1.2073019742965698,1.2543540000915527,-1.1450001001358032,-0.11944539844989777,1.0544742345809937,,0,-0.27407658100128174,0.31869779242449003,"Mike Moustakas",4892,519058
"Hanser Alberto","TEX",0.24476200342178345,-0.16941601037979126,0.4141780138015747,0.18799999356269836,0.021011697128415108,1.1770527362823486,,0,-0.051896918565034866,0.2598417250100288,"Hanser Alberto",11902,593643
"Lucas Duda","NYM",0.27157798409461975,-0.759253978729248,1.030832052230835,4.0960001945495605,0.4041532874107361,0.9077035188674927,,0,0.07667208462953568,0.22252030412913887,"Lucas Duda",2502,446263
"Jason Castro","HOU",-0.07585398852825165,-0.3250640034675598,0.24921000003814697,-2.1089999675750732,-0.21858711540699005,0.905398964881897,,0,-0.2922233045101166,0.20844367644510517,"Jason Castro",8722,488771
"Wilmer Flores","NYM",-0.006729995831847191,-0.5889878869056702,0.5822579860687256,-1.934000015258789,-0.21261610090732574,0.7769879102706909,,0,-0.19664199650287628,0.18798034843488695,"Wilmer Flores",5827,527038
"Addison Russell","CHC",0.030172109603881836,-0.10050400346517563,0.1306760311126709,-0.7269999980926514,-0.08172279596328735,0.6885713934898376,,0,-0.12372305989265442,0.16754147856230417,"Addison Russell",14106,608365
"Mike Napoli","TEX",0.12682799994945526,-0.19151000678539276,0.318338006734848,-0.6449999809265137,-0.06165710836648941,1.308440089225769,1.191999912261963,3,-0.06953780353069305,0.1664684929782336,"Mike Napoli",3057,435063
"Yoenis Cespedes","NYM",-0.011333911679685116,-0.9476100206375122,0.9362760186195374,-0.5470001697540283,-0.057993702590465546,0.9591040015220642,,0,-0.17070426046848297,0.15888707311268152,"Yoenis Cespedes",13110,493316
"Starlin Castro","CHC",-0.06866610050201416,-0.5149099826812744,0.4462440013885498,-1.1990000009536743,-0.1320514976978302,0.775600016117096,,0,-0.24711081385612488,0.15857793727654612,"Starlin Castro",4579,516770
"Jhonny Peralta","STL",0.002495996654033661,-0.3157399892807007,0.31823599338531494,-0.7720000147819519,-0.08793899416923523,1.1858667135238647,,0,-0.1558964103460312,0.15800119718722405,"Jhonny Peralta",1738,425509
"Lorenzo Cain","KCR",0.12312189489603043,-1.2352420091629028,1.3583639860153198,4.366999626159668,0.4932476580142975,1.0806007385253906,,0,-0.039397262036800385,0.15333563955821966,"Lorenzo Cain",9077,456715
"Matt Holliday","STL",0.020639993250370026,-0.21313199400901794,0.23377200961112976,-0.07499998807907104,-0.008839793503284454,0.7931777834892273,,0,-0.1171715036034584,0.143193403964275,"Matt Holliday",1873,407812
"George Springer","HOU",0.13846199214458466,-0.3084059953689575,0.44686800241470337,1.2839999198913574,0.13284514844417572,0.7516769170761108,,0,0.04200325533747673,0.1422008741217291,"George Springer",12856,543807
"Javier Báez","CHC",0.054054055362939835,-0.28781989216804504,0.34187400341033936,0.18599987030029297,0.00889197550714016,0.899858832359314,,0,-0.07063629478216171,0.13070577837128988,"Javier Baez",12979,595879
"Kyle Schwarber","CHC",0.5545580387115479,-0.2505379915237427,0.8050960302352905,5.396999835968018,0.590823769569397,0.6670064926147461,0.11479999870061874,1,0.7174398303031921,0.11397342406801092,"Kyle Schwarber",16478,656941
"Edwin Encarnación","TOR",0.11292403936386108,-0.7244361042976379,0.8373600244522095,-0.5040000081062317,-0.050315793603658676,1.0176368951797485,,0,0.011948175728321075,0.09901875157035449,"Edwin Encarnacion",2151,429665
"Mitch Moreland","TEX",-0.07908399403095245,-0.19229400157928467,0.11320999264717102,-1.128000020980835,-0.10703760385513306,0.6967067122459412,,0,-0.20798879861831665,0.09447762865123963,"Mitch Moreland",3086,519048
"Kyle Hendricks","CHC",0.10665200650691986,-0.024987999349832535,0.1316400021314621,0.7569999694824219,0.08342890441417694,1.034000039100647,,0,0.010648299008607864,0.09249677108218603,"Kyle Hendricks",12049,543294
"Justin Turner","LAD",0.5751178860664368,-0.20908397436141968,0.784201979637146,5.934999942779541,0.6781858205795288,1.0430095195770264,,0,0.462912917137146,0.08848941934360388,"Justin Turner",5235,457759
"Austin Jackson","CHC",-0.05833203345537186,-0.09107200056314468,0.03274000063538551,-2.384000062942505,-0.25928568840026855,0.4655333459377289,0.3237999975681305,2,-0.20969520509243011,0.08439369025062429,"Austin Jackson",9848,457706
"Ben Zobrist","KCR",0.36540016531944275,-1.1405659914016724,1.505966067314148,1.9720001220703125,0.19990818202495575,1.0023870468139648,,0,0.28033432364463806,0.08419569146364592,"Ben Zobrist",7435,450314
"Carlos Correa","HOU",0.28227999806404114,-0.3137359917163849,0.596015989780426,1.539000391960144,0.1644401252269745,0.7373520135879517,,0,0.30199477076530457,0.08083458734611892,"Carlos Correa",14162,621043
"Jake Marisnick","HOU",0.06371189653873444,-0.04171999916434288,0.10543200373649597,0.7280000448226929,0.07559709995985031,0.6013712882995605,,0,0.026653001084923744,0.07929135937645845,"Jake Marisnick",11339,545350
"Yasmani Grandal","LAD",-0.049411989748477936,-0.22274599969387054,0.173334002494812,-0.0899999737739563,-0.006827604025602341,1.1829828023910522,,0,-0.12077389657497406,0.07900491257232743,"Yasmani Grandal",11368,518735
"Delino DeShields","TEX",0.046685900539159775,-0.37610599398612976,0.4227920174598694,0.20789989829063416,0.030753398314118385,0.9108720421791077,,0,-0.023541279137134552,0.07479535037580343,"Delino DeShields",11379,592261
"Adrián González","LAD",0.3603699803352356,-0.27614399790763855,0.6365140080451965,3.2820000648498535,0.3760952949523926,0.9672381281852722,,0,0.3017653226852417,0.07081095386349207,"Adrian Gonzalez",1908,408236
"Robinson Chirinos","TEX",0.058201998472213745,-0.1224639043211937,0.1806659996509552,1.1050000190734863,0.11414610594511032,0.6610545516014099,,0,0.01827239990234375,0.06977176881447235,"Robinson Chirinos",3142,455139
"Kendrys Morales","KCR",0.25944817066192627,-0.7318921685218811,0.9913399815559387,5.443999767303467,0.565005898475647,0.9514947533607483,1.1233333349227905,3,0.20638230443000793,0.06629200065211316,"Kendrys Morales",8610,434778
"David Wright","NYM",-0.14958599209785461,-1.037269949913025,0.8876839876174927,-0.12500008940696716,0.008471474051475525,0.8838363885879517,,0,-0.234028160572052,0.06478191315646584,"David Wright",3787,431151
"Tony Cruz","STL",0.039159998297691345,-0.10816799104213715,0.14732800424098969,0.22800001502037048,0.024358998984098434,1.3747200965881348,,0,-0.03301484137773514,0.06150063888290077,"Tony Cruz",2802,488810
"Brandon Moss","STL",0.07373599708080292,-0.02287600003182888,0.09661199897527695,0.18700000643730164,0.018969301134347916,1.2479000091552734,2.0311999320983887,2,0.004066299647092819,0.05502176553428031,"Brandon Moss",4467,461235
"Preston Tucker","HOU",0.04928799718618393,-0.03229600936174393,0.08158399909734726,-0.2630000114440918,-0.027590598911046982,1.1326667070388794,1.1326667070388794,3,-0.01093900017440319,0.05445400496785837,"Preston Tucker",13633,605512
"Andrew McCutchen","PIT",0.05138000100851059,-0.02311999909579754,0.07450000196695328,0.42100000381469727,0.04757060110569,0.7639999985694885,,0,0.019635800272226334,0.04761551007425843,"Andrew McCutchen",9847,457705
"Chris Carter","HOU",0.06701230257749557,-0.22829198837280273,0.29530400037765503,0.8540000319480896,0.08929429948329926,0.7328899502754211,,0,0.048675794154405594,0.04275990168548449,"Chris Carter",9911,474892
"Will Venable","TEX",0.027333999052643776,-0.0035639998968690634,0.030897999182343483,0.023000001907348633,0.002369999885559082,0.7267000079154968,0.1387999951839447,1,-0.0021735001355409622,0.0397873693455469,"Will Venable",211,461416
"Kevin Pillar","TOR",0.3364339768886566,-0.6064860224723816,0.9429199695587158,3.058000326156616,0.297235369682312,1.0117624998092651,,0,0.29377481341362,0.038747865527416325,"Kevin Pillar",12434,607680
"Andre Ethier","LAD",-0.012162022292613983,-0.35550200939178467,0.3433400094509125,-0.0030000023543834686,-0.0008709481917321682,1.1785449981689453,0.27000001072883606,1,-0.048969440162181854,0.03864991709644436,"Andre Ethier",6265,444843
"Russell Martin","TOR",-0.0906480997800827,-0.5850021243095398,0.49435389041900635,-1.1729998588562012,-0.12157376855611801,1.0416420698165894,,0,-0.12439578026533127,0.03737154957537471,"Russell Martin",4616,431145
"Rougned Odor","TEX",0.22888199985027313,-0.3096719980239868,0.5385540127754211,1.5729999542236328,0.1681033968925476,1.013719081878662,,0,0.18894609808921814,0.036838346479094064,"Rougned Odor",12282,596059
"Rubén Tejada","NYM",-0.05249200016260147,-0.06645999848842621,0.013968000188469887,-0.5069999694824219,-0.057482898235321045,0.6565999984741211,,0,-0.11286379396915436,0.03291862143703721,"Ruben Tejada",5519,514913
"Noah Syndergaard","NYM",-0.04066804051399231,-0.08766800165176392,0.04699999839067459,-0.875,-0.10039839893579483,0.7002000212669373,,0,-0.08860340714454651,0.030522802633270105,"Noah Syndergaard",11762,592789
"Chris Coghlan","CHC",-0.11681799590587616,-0.1478940099477768,0.03107599914073944,-1.4580000638961792,-0.1653909981250763,0.5678166151046753,0.5632500052452087,4,-0.23431870341300964,0.028586794908815716,"Chris Coghlan",6878,458085
"Prince Fielder","TEX",-0.16235600411891937,-0.4102299213409424,0.24787400662899017,-1.5579999685287476,-0.15377609431743622,0.9546952247619629,,0,-0.19798170030117035,0.02792114075516436,"Prince Fielder",4613,425902
"Carl Crawford","LAD",-0.2925800085067749,-0.38914191722869873,0.09656200557947159,-2.1470000743865967,-0.24360080063343048,1.286892294883728,1.753600001335144,1,-0.25285598635673523,0.025502065853846678,"Carl Crawford",1201,408307
"Chase Utley","LAD",0.021164001896977425,-0.08741600066423416,0.10858000069856644,0.2029999941587448,0.023015880957245827,2.1337332725524902,2.1337332725524902,3,-0.010392200201749802,0.02031096660485316,"Chase Utley",1679,400284
"Josh Harrison","PIT",-0.013559999875724316,-0.046140000224113464,0.032579999417066574,-0.17499999701976776,-0.019773999229073524,0.6775000095367432,,0,-0.03840069845318794,0.018385938770754447,"Josh Harrison",8202,543281
