Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Bryce Harper","PHI",17,71,6,12,13,1,0.084507042,0.197183098,0.396825397,0.372093023,0.349206349,0.414285714,0.746031746,0.4837817031404246,,217.44510107510558,,,,,"Bryce Harper",11579,547180
"Harrison Bader","NYY",9,35,5,8,6,0,0.114285714,0.171428571,0.5,0.263157894,0.333333333,0.428571428,0.833333333,0.5215557115418571,,250.88517072383178,,,,,"Harrison Bader",18030,664056
"Jeremy Peña","HOU",13,61,4,12,8,0,0.032786885,0.245901639,0.293103448,0.41025641,0.344827586,0.366666666,0.637931034,0.42825396060943605,,186.5581542182628,,,,,"Jeremy Pena",21636,665161
"Kyle Schwarber","PHI",17,74,6,13,10,3,0.202702702,0.243243243,0.327272727,0.181818181,0.218181818,0.391891891,0.545454545,0.38648544398831647,,150.91642084422097,,,,,"Kyle Schwarber",16478,656941
"Alex Bregman","HOU",13,58,3,7,11,1,0.103448275,0.103448275,0.274509803,0.285714285,0.294117647,0.379310344,0.56862745,0.40625899105236446,,171.03016741701924,,,,,"Alex Bregman",17678,608324
"Anthony Rizzo","NYY",9,37,2,4,8,0,0.135135135,0.216216216,0.275862069,0.315789473,0.275862068,0.432432432,0.551724137,0.42720859920656357,,184.27808989671323,,,,,"Anthony Rizzo",3473,519203
"Matt Olson","ATL",4,17,2,4,5,0,0.294117647,0.235294117,0.5,0.333333333,0.333333333,0.529411764,0.833333333,0.5503190755844116,,262.3346089301671,,,,,"Matt Olson",14344,621566
"Manny Machado","SDP",12,52,4,4,7,0,0.076923076,0.326923076,0.3125,0.333333333,0.270833333,0.326923076,0.583333333,0.38712533620687634,,155.6462608458001,,,,,"Manny Machado",11493,592518
"Travis d'Arnaud","ATL",4,16,2,2,5,0,0,0.25,0.5625,0.4,0.375,0.375,0.9375,0.550767794251442,,262.64143121678575,,,,,"Travis d'Arnaud",7739,518595
"Freddie Freeman","LAD",4,18,1,1,3,1,0.166666666,0.222222222,0.428571428,0.444444444,0.357142857,0.5,0.785714285,0.519881406251122,,244.43099065987195,,,,,"Freddie Freeman",5361,518692
"Yuli Gurriel","HOU",12,50,2,4,4,2,0.02,0.02,0.142857143,0.326086956,0.346938775,0.36,0.489795918,0.3693627047538757,,144.98216379640792,,,,,"Yuli Gurriel",19198,493329
"Trea Turner","LAD",4,18,2,4,2,1,0,0.277777777,0.444444444,0.363636363,0.333333333,0.333333333,0.777777777,0.46859214040968156,,209.36070947765762,,,,,"Trea Turner",16252,607208
"Eugenio Suárez","SEA",5,21,1,5,3,0,0.047619047,0.238095238,0.25,0.428571428,0.35,0.38095238,0.6,0.4199572688057309,,185.5058073525808,,,,,"Eugenio Suarez",12552,553993
"Eduardo Escobar","NYM",3,11,1,2,2,0,0.181818181,0.272727272,0.444444444,0.4,0.333333333,0.454545454,0.777777777,0.5086197419600054,,238.5568581523229,,,,,"Eduardo Escobar",6153,500871
"Teoscar Hernández","TOR",2,9,2,3,4,1,0,0.111111111,0.75,0,0.25,0.333333333,1,0.5404684080017937,,265.5832371648896,,,,,"Teoscar Hernandez",13066,606192
"José Ramírez","CLE",7,32,1,2,4,0,0.03125,0.21875,0.166666667,0.391304347,0.333333333,0.34375,0.5,0.3584579713642597,,136.98362749770337,,,,,"Jose Ramirez",13510,608070
"Max Muncy","LAD",4,16,1,2,2,0,0.125,0.375,0.285714286,0.428571428,0.285714285,0.375,0.571428571,0.40491674840450287,,165.82111370896487,,,,,"Max Muncy",13301,571970
"Orlando Arcia","ATL",4,12,1,1,1,0,0.166666666,0.166666666,0.3,0.285714285,0.3,0.416666666,0.6,0.4347659150759379,,183.32232899124446,,,,,"Orlando Arcia",13185,606115
"Pete Alonso","NYM",3,12,1,2,1,0,0.166666666,0.333333333,0.3,0.4,0.3,0.416666666,0.6,0.4347659150759379,,188.0575103313972,,,,,"Pete Alonso",19251,624413
