Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"Yordan Alvarez","HOU",11,49,6,12,15,0,0.081632653,0.285714285,0.511627907,0.583333333,0.465116279,0.510204081,0.976744186,0.5937590789287648,,293.84397117510304,,,,,"Yordan Alvarez",19556,670541
"Corey Seager","TEX",17,82,6,18,12,0,0.182926829,0.146341463,0.363636363,0.3125,0.318181818,0.451219512,0.681818181,0.465033994615078,,203.10217763209255,,,,,"Corey Seager",13624,608369
"Adolis García","TEX",15,68,8,11,22,2,0.044117647,0.264705882,0.403225806,0.333333333,0.322580645,0.382352941,0.725806451,0.4595610814936021,,199.30878158405085,,,,,"Adolis Garcia",19287,666969
"Bryce Harper","PHI",13,55,5,14,8,3,0.236363636,0.2,0.357142857,0.269230769,0.285714285,0.454545454,0.642857142,0.45005973442545477,,186.6577113648174,,,,,"Bryce Harper",11579,547180
"Trea Turner","PHI",13,55,3,9,5,4,0.09090909,0.145454545,0.285714286,0.358974358,0.346938775,0.4,0.632653061,0.43006256385283037,,173.25192467157314,,,,,"Trea Turner",16252,607208
"Kyle Schwarber","PHI",13,57,5,9,6,0,0.157894736,0.298245614,0.40425532,0.28,0.255319148,0.385964912,0.659574468,0.42255388606678357,,168.21822590991707,,,,,"Kyle Schwarber",16478,656941
"Evan Carter","TEX",17,72,1,9,6,3,0.138888888,0.263888888,0.2,0.425,0.3,0.416666666,0.5,0.39818453623188865,,156.7673527196636,,,,,"Evan Carter",27790,694497
"Ketel Marte","ARI",17,79,2,6,11,3,0.075949367,0.227848101,0.205479452,0.415094339,0.328767123,0.379746835,0.534246575,0.3900546816330922,,145.38040937394058,,,,,"Ketel Marte",13613,606466
"José Abreu","HOU",11,48,4,6,13,1,0.083333333,0.166666666,0.295454545,0.28125,0.295454545,0.354166666,0.59090909,0.3980010077357292,,158.15976111118042,,,,,"Jose Abreu",15676,547989
"Alex Bregman","HOU",11,49,4,10,7,0,0.142857142,0.204081632,0.365853658,0.185185185,0.219512195,0.346938775,0.585365853,0.389264211362722,,152.10409603879694,,,,,"Alex Bregman",17678,608324
