Name,Team,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,NameASCII,PlayerId,MLBAMID
"Austin Riley","ATL",1.0193719863891602,-0.8959559798240662,1.915328025817871,0.7509998083114624,0.05386867746710777,0.9326735138893127,,0,0.22896027565002441,0.863996660736331,"Austin Riley",18360,663586
"Eddie Rosario","ATL",1.120121955871582,-0.7224818468093872,1.8426040410995483,9.38659954071045,0.953291118144989,0.8896111249923706,3.6988000869750977,1,0.6416267156600952,0.6174874347853461,"Eddie Rosario",12155,592696
"Cody Bellinger","LAD",0.9116659164428711,-0.5548199415206909,1.4664860963821411,5.792999744415283,0.6114341020584106,1.169663667678833,2.3664000034332275,1,0.25592073798179626,0.5235049564591093,"Cody Bellinger",15998,641355
"Leury García","CHW",0.25232794880867004,-0.1315600723028183,0.38388800621032715,1.4499999284744263,0.1440800279378891,0.5648000240325928,,0,0.016478735953569412,0.43027752833814215,"Leury Garcia",5913,544725
"Jorge Soler","ATL",0.44136983156204224,-0.3735859990119934,0.81495600938797,2.5880002975463867,0.26466992497444153,0.6652736663818359,0.5738666653633118,3,0.25511953234672546,0.4083214752651956,"Jorge Soler",14221,624585
"Martín Maldonado","HOU",-0.17507602274417877,-0.7977540493011475,0.6226779818534851,-3.729999542236328,-0.3670709729194641,0.8341849446296692,,0,-0.6089383363723755,0.399061589169868,"Martin Maldonado",6887,455117
"Alex Bregman","HOU",0.1337900310754776,-0.9133458733558655,1.0471359491348267,-1.4760000705718994,-0.13931788504123688,0.7956695556640625,,0,-0.2130506932735443,0.3811984251090511,"Alex Bregman",17678,608324
"Christian Vázquez","BOS",0.2529579997062683,-0.45981407165527344,0.712772011756897,0.9150000810623169,0.0870266854763031,0.8705599904060364,0.8411999940872192,1,-0.08517004549503326,0.37573933709352103,"Christian Vazquez",9774,543877
"Carlos Correa","HOU",0.501382052898407,-0.9629061222076416,1.4642881155014038,1.6890003681182861,0.18118107318878174,0.9218753576278687,,0,0.20256303250789642,0.3413088138863303,"Carlos Correa",14162,621043
"Adam Duvall","ATL",-0.0463780052959919,-1.0039199590682983,0.9575420022010803,0.3490002751350403,0.04434362053871155,0.9258406162261963,,0,-0.3779383897781372,0.3278455287789811,"Adam Duvall",10950,594807
"Jose Siri","HOU",0.05391596257686615,-0.1049879863858223,0.15890395641326904,-1.1369999647140503,-0.1119699776172638,0.5632933378219604,,0,-0.18132324516773224,0.27703885008743273,"Jose Siri",17452,642350
"Jose Altuve","HOU",0.4438701868057251,-0.9205498695373535,1.3644200563430786,2.7288999557495117,0.2792368531227112,0.7359806895256042,,0,0.34971898794174194,0.2533813285785642,"Jose Altuve",5417,514888
"Kyle Schwarber","BOS",0.08186805993318558,-0.6676198244094849,0.7494879364967346,0.5796003341674805,0.03876183182001114,0.762395977973938,,0,-0.13798105716705322,0.24536365400439408,"Kyle Schwarber",16478,656941
"Joc Pederson","ATL",0.08582412451505661,-0.7216980457305908,0.8075219988822937,0.6839998960494995,0.06556766480207443,0.9775333404541016,1.0415500402450562,4,-0.11105699092149734,0.1988536122369279,"Joc Pederson",11899,592626
