Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
"David Ortiz","BOS",16,68,5,12,13,0,0.235294117,0.102941176,0.352941176,0.325,0.352941176,0.5,0.705882352,0.49186219833791256,,214.4344850641715,,,,,"David Ortiz",745,120074
"Victor Martinez","DET",11,44,1,9,5,0,0.022727272,0.068181818,0.166666667,0.421052631,0.404761904,0.431818181,0.571428571,0.43755389885468915,,180.5144902674879,,,,,"Victor Martinez",393,400121
"Carl Crawford","LAD",10,45,4,8,6,1,0.066666666,0.2,0.30952381,0.310344827,0.309523809,0.355555555,0.619047619,0.4188846031824748,,174.75455393975022,,,,,"Carl Crawford",1201,408307
"A.J. Ellis","LAD",10,36,1,3,3,0,0.083333333,0.166666666,0.29032258,0.375,0.322580645,0.4,0.612903225,0.4327052525111607,,184.37888298317318,,,,,"A.J. Ellis",5677,454560
"Hanley Ramirez","LAD",9,37,1,5,7,1,0.135135135,0.189189189,0.29032258,0.391304347,0.322580645,0.432432432,0.612903225,0.4251369833946228,,179.10854361383892,,,,,"Hanley Ramirez",8001,434670
"Jacoby Ellsbury","BOS",16,71,0,14,6,6,0.098591549,0.197183098,0.09375,0.44,0.34375,0.408450704,0.4375,0.3704942967210497,,130.7698171951613,,,,,"Jacoby Ellsbury",4727,453056
"Adrián González","LAD",10,41,3,7,7,0,0.073170731,0.170731707,0.289473684,0.321428571,0.315789473,0.365853658,0.605263157,0.41103743463754655,,169.28999649823902,,,,,"Adrian Gonzalez",1908,408236
"Carlos Beltrán","STL",17,68,2,6,15,0,0.147058823,0.088235294,0.196428572,0.270833333,0.267857142,0.388059701,0.464285714,0.37204320773933874,,139.83837539551567,,,,,"Carlos Beltran",589,136860
"Pedro Alvarez","PIT",6,23,3,4,7,0,0.086956521,0.304347826,0.5,0.272727272,0.3,0.347826086,0.8,0.4564018032767556,,200.65381199819652,,,,,"Pedro Alvarez",2495,476883
"Yoenis Cespedes","OAK",5,22,1,3,4,0,0,0.181818181,0.285714286,0.4375,0.38095238,0.409090909,0.666666666,0.46134614131667395,,200.74192111811183,,,,,"Yoenis Cespedes",13110,493316
